Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),RESP(mV)
0,-0.03,-0.007,2.504,11.146,84,10.948
0.065,-0.026,-0.003,2.512,11.136,84,10.958
0.129,-0.016,0.002,2.514,11.127,84,10.982
0.194,-0.02,-0.003,2.519,11.116,84,11.002
0.258,-0.395,-0.002,2.522,11.101,84,11.026
0.323,0.007,-0.011,2.524,11.086,84,11.064
0.387,0.059,-0.009,2.527,11.073,84,11.09
0.452,0.047,-0.002,2.531,11.057,84,11.118
0.516,-0.025,-0.006,2.529,10.999,84,11.144
0.581,0,-0.003,2.528,10.984,60,11.162
0.645,0.008,-0.002,2.527,10.966,60,11.174
0.71,0.019,-0.002,2.524,10.949,60,11.192
0.774,-0.371,0,2.523,10.931,60,11.222
0.839,0.054,-0.013,2.522,10.914,60,11.25
0.903,0.058,-0.004,2.521,10.896,60,11.254
0.968,0.031,0,2.517,10.878,60,11.212
1.032,0.011,-0.017,2.516,10.862,60,10.964
1.097,0.016,-0.01,2.513,10.847,60,10.97
1.161,0.01,-0.009,2.511,10.832,60,10.978
1.226,0.004,0,2.503,10.8,60,11.008
1.29,0.002,0.009,2.501,10.785,60,11.034
1.355,-0.334,0.007,2.498,10.769,60,11.058
1.419,0.004,-0.008,2.494,10.754,44,11.062
1.484,0.094,-0.009,2.489,10.74,44,11.066
1.548,0.113,-0.017,2.484,10.729,44,11.076
1.613,0.071,-0.01,2.48,10.715,44,11.078
1.677,0.139,-0.008,2.475,10.704,44,11.058
1.742,0.191,-0.003,2.472,10.691,44,11.036
1.806,0.195,-0.004,2.471,10.678,44,11.008
1.871,0.14,-0.005,2.469,10.667,44,10.978
1.935,0.15,0.002,2.465,10.656,44,10.956
2,-0.171,-0.013,2.461,10.644,44,10.938
2.065,0.135,-0.009,2.457,10.634,44,10.946
2.129,0.174,-0.007,2.452,10.624,44,10.942
2.194,0.177,-0.001,2.446,10.609,44,10.93
2.258,0.126,-0.007,2.442,10.603,44,10.89
2.323,0.136,-0.004,2.439,10.598,44,10.838
2.387,0.133,-0.003,2.435,10.596,44,10.78
2.452,0.13,-0.003,2.431,10.594,44,10.642
2.516,0.12,-0.008,2.43,10.593,44,10.598
2.581,-0.243,0.002,2.426,10.594,44,10.546
