Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,0.016,0.036,8.764,5.676,88,10.85,43.47
0.065,-0.098,0.052,8.77,5.681,88,10.85,43.02
0.129,0.273,0.078,8.777,5.686,88,10.85,42.56
0.194,-0.094,0.042,8.787,5.694,88,10.85,42.57
0.258,0.018,0.036,8.796,5.705,88,10.85,42.64
0.323,0.181,0.052,8.804,5.72,88,10.85,42.1
0.387,0.06,0.036,8.811,5.74,88,10.85,41.39
0.452,-0.061,0.026,8.821,5.764,91,10.85,41.05
0.516,-0.044,0.046,8.83,5.796,91,10.85,40.97
0.581,-0.052,0.042,8.839,5.834,91,10.85,40.8
0.645,-0.009,0.067,8.851,5.878,91,10.85,40.35
0.71,-0.051,0.046,8.866,5.925,91,10.85,40.1
0.774,0.285,0.072,8.886,5.973,91,10.85,40.07
0.839,-0.148,0.093,8.912,6.028,91,10.85,40.18
0.903,-0.027,0.067,8.943,6.08,91,10.85,40.43
0.968,0.115,0.062,8.984,6.131,91,10.85,40.37
1.032,0.098,0.046,9.028,6.183,91,10.85,40.54
1.097,-0.065,0.062,9.083,6.236,89,10.85,40.99
1.161,-0.067,0.067,9.137,6.283,89,10.85,41.53
1.226,-0.07,0.042,9.191,6.324,89,10.85,42.09
1.29,-0.075,0.062,9.248,6.366,89,10.85,42.56
1.355,-0.037,0.072,9.306,6.405,89,10.85,43.04
1.419,-0.038,0.052,9.359,6.443,89,10.85,43.55
1.484,0.109,0.103,9.409,6.463,89,10.85,44.06
1.548,0.027,0.099,9.456,6.473,89,10.85,44.5
1.613,0.077,0.046,9.503,6.487,89,10.85,44.94
1.677,0.095,0.052,9.548,6.502,89,10.85,45.39
1.742,-0.059,0.083,9.587,6.519,89,10.85,45.78
1.806,-0.083,0.052,9.622,6.532,90,10.84,46.2
1.871,-0.075,0.052,9.679,6.529,90,10.85,46.73
1.935,-0.047,0.062,9.682,6.528,90,10.85,46.75
2,-0.074,0.057,9.708,6.522,90,10.84,47
2.065,0.2,0.114,9.727,6.51,90,10.85,47.3
2.129,-0.119,0.088,9.746,6.5,90,10.84,47.56
2.194,-0.045,0.057,9.759,6.489,90,10.84,47.77
2.258,0.081,0.036,9.768,6.48,90,10.85,47.97
2.323,0.064,0.042,9.773,6.469,90,10.85,48.15
2.387,-0.072,0.042,9.775,6.455,95,10.85,48.31
2.452,-0.058,0.046,9.775,6.443,95,10.85,48.41
2.516,-0.061,0.046,9.772,6.431,95,10.85,48.31
2.581,-0.028,0.046,9.768,6.417,95,10.85,47.98
2.645,-0.059,0.057,9.759,6.402,95,10.85,47.7
2.71,0.258,0.062,9.752,6.388,95,10.85,47.36
2.774,-0.125,0.099,9.744,6.376,95,10.85,46.82
2.839,-0.034,0.042,9.736,6.362,95,10.85,46.03
2.903,0.118,0.042,9.728,6.351,95,10.85,44.96
2.968,0.106,0.052,9.719,6.341,95,10.85,44
3.032,-0.061,0.072,9.712,6.331,93,10.85,43.19
3.097,-0.059,0.036,9.702,6.321,93,10.85,42.51
3.161,-0.056,0.052,9.692,6.311,93,10.85,42
3.226,-0.033,0.088,9.68,6.301,93,10.85,41.5
3.29,-0.049,0.046,9.67,6.291,93,10.85,41.18
3.355,0.168,0.078,9.66,6.279,93,10.85,41.07
3.419,-0.031,0.072,9.65,6.269,93,10.85,41.1
3.484,-0.045,0.057,9.64,6.259,93,10.85,41.28
3.548,0.101,0.057,9.63,6.249,93,10.85,41.58
3.613,0.115,0.057,9.62,6.239,93,10.85,42.01
3.677,-0.065,0.062,9.61,6.231,93,10.85,42.53
3.742,-0.076,0.046,9.6,6.222,91,10.85,43.06
3.806,-0.074,0.052,9.592,6.214,91,10.85,43.56
3.871,-0.073,0.042,9.582,6.206,91,10.85,43.93
