Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.036,0.166,1.375,4.994,77,11.16,38.33
0.067,0.099,0.166,1.375,4.993,85,11.16,38.39
0.133,0.08,0.186,1.375,4.992,85,11.16,38.45
0.2,-0.088,0.186,1.375,4.99,85,11.16,38.47
0.267,-0.079,0.207,1.375,4.988,85,11.16,38.48
0.333,-0.076,0.186,1.372,4.987,85,11.16,38.42
0.4,-0.02,0.186,1.372,4.984,85,11.16,38.35
0.467,-0.092,0.166,1.372,4.982,85,11.16,38.3
0.533,0.276,0.373,1.372,4.982,85,11.16,38.26
0.6,-0.091,0.228,1.372,4.98,85,11.16,38.24
0.667,-0.071,0.145,1.372,4.979,85,11.16,38.2
0.733,0,0.186,1.372,4.977,86,11.17,38.18
0.8,0.144,0.124,1.372,4.975,86,11.16,38.15
0.867,-0.002,0.145,1.372,4.973,86,11.16,38.14
0.933,-0.093,0.145,1.372,4.972,86,11.16,38.14
1,-0.077,0.228,1.372,4.969,86,11.16,38.11
1.067,-0.082,0.145,1.371,4.968,86,11.16,38.03
1.133,-0.02,0.166,1.371,4.967,86,11.16,37.96
1.2,-0.1,0.207,1.37,4.964,86,11.16,37.92
1.267,0.3,0.394,1.37,4.963,86,11.16,37.9
1.333,-0.11,0.186,1.37,4.962,86,11.16,37.87
1.4,-0.074,0.145,1.37,4.96,86,11.16,37.83
1.467,0.002,0.145,1.37,4.958,85,11.16,37.78
1.533,0.143,0.166,1.37,4.957,85,11.16,37.75
1.6,-0.019,0.145,1.37,4.957,85,11.16,37.71
1.667,-0.092,0.186,1.37,4.954,85,11.16,37.67
1.733,-0.077,0.207,1.368,4.952,85,11.16,37.6
1.8,-0.084,0.228,1.367,4.951,85,11.16,37.49
1.867,-0.063,0.207,1.367,4.95,85,11.16,37.39
1.933,-0.03,0.145,1.367,4.947,85,11.16,37.3
2,-0.112,0.207,1.367,4.946,85,11.16,37.25
2.067,0.327,0.539,1.367,4.943,85,11.17,37.21
2.133,-0.086,0.228,1.367,4.942,85,11.17,37.17
2.2,-0.045,0.145,1.367,4.941,85,11.16,37.14
2.267,0.06,0.166,1.367,4.94,80,11.17,37.09
2.333,0.135,0.145,1.367,4.937,80,11.16,37.07
2.4,-0.068,0.166,1.367,4.936,80,11.16,37.03
2.467,-0.083,0.145,1.367,4.935,80,11.16,36.99
2.533,-0.074,0.186,1.366,4.932,80,11.16,36.9
2.6,-0.085,0.166,1.367,4.932,80,11.17,36.77
2.667,-0.088,0.186,1.365,4.93,80,11.17,36.68
2.733,-0.024,0.186,1.365,4.927,80,11.16,36.62
2.8,-0.078,0.228,1.365,4.927,80,11.16,36.58
2.867,0.196,0.331,1.365,4.926,80,11.17,36.54
2.933,0.041,0.29,1.365,4.923,80,11.17,36.52
3,-0.076,0.186,1.365,4.922,80,11.17,36.52
3.067,-0.016,0.124,1.365,4.921,73,11.17,36.52
3.133,0.125,0.145,1.365,4.918,73,11.17,36.51
3.2,0.036,0.186,1.363,4.917,73,11.17,36.52
3.267,-0.095,0.186,1.362,4.916,73,11.17,36.52
3.333,-0.083,0.207,1.362,4.913,73,11.17,36.49
3.4,-0.088,0.186,1.362,4.912,73,11.17,36.45
3.467,-0.098,0.186,1.362,4.91,73,11.17,36.39
3.533,-0.098,0.145,1.362,4.908,73,11.17,36.37
3.6,-0.03,0.186,1.362,4.907,73,11.17,36.37
3.667,-0.093,0.228,1.362,4.905,73,11.17,36.37
3.733,0.284,0.394,1.362,4.905,73,11.17,36.38
3.8,-0.063,0.228,1.362,4.902,73,11.16,36.39
3.867,-0.073,0.207,1.362,4.901,73,11.17,36.41
3.933,-0.004,0.186,1.362,4.9,72,11.17,36.42
4,0.137,0.166,1.362,4.897,72,11.17,36.43
4.067,0.012,0.186,1.361,4.896,72,11.16,36.44
4.133,-0.101,0.186,1.361,4.895,72,11.17,36.46
4.2,-0.086,0.145,1.36,4.892,72,11.17,36.45
4.267,-0.096,0.186,1.36,4.891,72,11.17,36.4
4.333,-0.104,0.166,1.36,4.89,72,11.17,36.39
4.4,-0.105,0.186,1.36,4.887,72,11.17,36.41
4.467,-0.052,0.145,1.36,4.886,72,11.16,36.47
4.533,-0.082,0.186,1.36,4.885,72,11.17,36.55
4.6,0.096,0.394,1.358,4.883,72,11.17,36.62
4.667,0.089,0.331,1.357,4.882,72,11.16,36.72
4.733,-0.085,0.207,1.357,4.88,72,11.16,36.84
4.8,-0.028,0.166,1.357,4.878,70,11.16,36.98
4.867,0.109,0.145,1.357,4.877,70,11.17,37.11
4.933,0.051,0.207,1.357,4.875,70,11.17,37.26
5,-0.107,0.186,1.357,4.875,70,11.17,37.4
5.067,-0.098,0.207,1.357,4.872,70,11.17,37.51
5.133,-0.101,0.186,1.357,4.871,70,11.16,37.59
5.2,-0.104,0.166,1.357,4.87,70,11.16,37.68
5.267,-0.051,0.166,1.357,4.868,70,11.16,37.79
5.333,-0.126,0.228,1.357,4.867,70,11.17,37.93
5.4,0.253,0.435,1.357,4.865,70,11.17,38.05
5.467,-0.127,0.228,1.355,4.862,70,11.17,38.15
5.533,-0.083,0.228,1.355,4.862,70,11.17,38.26
5.6,0.003,0.228,1.355,4.86,80,11.16,38.36
5.667,0.125,0.228,1.355,4.86,80,11.16,38.45
5.733,-0.066,0.207,1.355,4.858,80,11.16,38.52
5.8,-0.116,0.186,1.355,4.856,80,11.16,38.58
5.867,-0.101,0.166,1.355,4.855,80,11.17,38.59
5.933,-0.097,0.207,1.355,4.853,80,11.16,38.58
6,-0.058,0.249,1.353,4.851,80,11.17,38.56
6.067,-0.132,0.186,1.355,4.85,80,11.17,38.56
6.133,0.262,0.311,1.352,4.848,80,11.17,38.53
6.2,-0.118,0.228,1.352,4.848,80,11.17,38.48
6.267,-0.072,0.249,1.352,4.846,80,11.17,38.43
6.333,0.021,0.186,1.352,4.844,85,11.17,38.37
6.4,0.127,0.145,1.352,4.843,85,11.17,38.33
6.467,-0.071,0.207,1.352,4.841,85,11.17,38.29
6.533,-0.103,0.166,1.352,4.84,85,11.17,38.26
6.6,-0.087,0.166,1.352,4.838,85,11.17,38.2
6.667,-0.095,0.186,1.352,4.838,85,11.16,38.09
6.733,-0.036,0.186,1.352,4.835,85,11.24,38
6.8,-0.103,0.207,1.352,4.833,85,11.46,37.93
6.867,0.294,0.352,1.352,4.833,85,11.67,37.89
6.933,-0.096,0.228,1.352,4.83,85,11.61,37.86
7,-0.068,0.145,1.352,4.83,85,12.16,37.81
7.067,0.005,0.145,1.351,4.828,82,11.62,37.78
7.133,0.153,0.186,1.352,4.828,82,11.4,37.74
7.2,0.004,0.166,1.35,4.825,82,11.28,37.73
7.267,-0.082,0.124,1.35,4.825,82,11.22,37.69
7.333,-0.064,0.228,1.35,4.823,82,11.46,37.64
7.4,-0.066,0.228,1.35,4.821,82,11.51,37.52
7.467,-0.07,0.207,1.35,4.82,82,11.39,37.42
7.533,-0.038,0.104,1.35,4.818,82,11.73,37.36
7.6,-0.068,0.166,1.35,4.818,82,11.96,37.31
7.667,-0.002,0.207,1.35,4.816,82,11.99,37.28
7.733,0.36,0.456,1.35,4.814,82,11.96,37.24
7.8,-0.066,0.186,1.348,4.813,82,11.99,37.2
7.867,-0.028,0.166,1.348,4.81,82,11.99,37.15
7.933,0.078,0.124,1.347,4.809,73,11.62,37.09
8,0.139,0.145,1.347,4.808,73,11.78,37.08
8.067,-0.072,0.145,1.347,4.808,73,11.88,37.03
8.133,-0.088,0.207,1.347,4.805,73,11.73,36.97
8.2,-0.084,0.145,1.347,4.804,73,11.89,36.87
8.267,-0.097,0.186,1.347,4.803,73,11.82,36.72
8.333,-0.104,0.269,1.347,4.803,73,11.48,36.63
8.4,-0.101,0.124,1.347,4.8,73,11.46,36.57
8.467,-0.098,0.186,1.347,4.799,73,11.26,36.53
8.533,-0.086,0.166,1.347,4.798,73,11.32,36.52
8.6,-0.042,0.207,1.347,4.796,73,11.6,36.5
8.667,-0.11,0.186,1.347,4.795,73,11.43,36.5
8.733,0.338,0.394,1.347,4.793,73,11.28,36.49
8.8,-0.088,0.186,1.346,4.793,73,11.34,36.5
8.867,-0.06,0.186,1.347,4.79,73,11.4,36.51
8.933,0.029,0.166,1.345,4.79,61,11.43,36.52
9,0.153,0.166,1.345,4.788,61,11.26,36.52
9.067,-0.052,0.186,1.345,4.786,61,11.29,36.52
9.133,-0.102,0.207,1.345,4.785,61,11.22,36.52
9.2,-0.092,0.207,1.345,4.783,61,11.21,36.49
9.267,-0.101,0.186,1.345,4.783,61,11.13,36.43
9.333,-0.103,0.166,1.345,4.78,61,11.12,36.4
9.4,-0.096,0.145,1.345,4.779,61,11.11,36.39
9.467,-0.086,0.269,1.345,4.778,61,11.12,36.39
9.533,-0.067,0.228,1.345,4.776,61,11.11,36.42
9.6,-0.027,0.186,1.345,4.775,61,11.11,36.42
9.667,-0.09,0.228,1.342,4.773,61,11.11,36.42
9.733,0.367,0.518,1.345,4.772,61,11.11,36.43
9.8,-0.057,0.124,1.342,4.771,61,11.11,36.44
9.867,-0.027,0.166,1.342,4.768,61,11.1,36.45
9.933,0.072,0.166,1.342,4.768,62,11.11,36.47
10,0.18,0.145,1.342,4.767,62,11.1,36.47
10.067,-0.039,0.186,1.342,4.766,62,11.11,36.47
10.133,-0.077,0.145,1.342,4.763,62,11.11,36.49
10.2,-0.068,0.207,1.342,4.763,62,11.11,36.47
10.267,-0.077,0.124,1.342,4.761,62,11.11,36.4
10.333,-0.081,0.207,1.342,4.761,62,11.1,36.39
10.4,-0.081,0.186,1.341,4.758,62,11.1,36.4
10.467,-0.033,0.166,1.342,4.756,62,11.1,36.45
10.533,-0.088,0.124,1.34,4.756,62,11.1,36.51
10.6,0.292,0.414,1.34,4.754,62,11.1,36.57
10.667,-0.086,0.228,1.34,4.753,62,11.1,36.65
10.733,-0.073,0.166,1.34,4.751,62,11.1,36.74
10.8,-0.002,0.145,1.34,4.751,70,11.1,36.87
10.867,0.156,0.186,1.34,4.748,70,11.1,37.01
10.933,0.016,0.186,1.34,4.747,70,11.1,37.16
11,-0.1,0.207,1.34,4.746,70,11.1,37.3
11.067,-0.086,0.228,1.34,4.743,70,11.1,37.41
11.133,-0.088,0.145,1.34,4.742,70,11.1,37.48
11.2,-0.07,0.186,1.34,4.741,70,11.1,37.56
11.267,-0.066,0.228,1.34,4.739,70,11.1,37.68
11.333,-0.114,0.228,1.338,4.738,70,11.1,37.8
11.4,0.28,0.456,1.337,4.736,70,11.1,37.93
11.467,-0.085,0.249,1.337,4.734,70,11.1,38.01
11.533,-0.036,0.207,1.337,4.733,70,11.1,38.11
11.6,0.095,0.166,1.337,4.731,80,11.1,38.2
11.667,0.124,0.207,1.337,4.729,80,11.1,38.29
11.733,-0.073,0.186,1.337,4.728,80,11.1,38.39
11.8,-0.078,0.207,1.337,4.728,80,11.1,38.47
11.867,-0.071,0.145,1.337,4.726,80,11.1,38.49
11.933,-0.047,0.207,1.337,4.724,80,11.1,38.48
12,-0.063,0.166,1.336,4.723,80,11.1,38.48
12.067,-0.087,0.269,1.335,4.722,80,11.1,38.48
12.133,0.273,0.352,1.335,4.721,80,11.1,38.51
12.2,-0.08,0.207,1.335,4.719,80,11.1,38.53
12.267,-0.033,0.207,1.335,4.718,80,11.1,38.53
12.333,0.097,0.228,1.335,4.716,84,11.1,38.51
12.4,0.092,0.166,1.335,4.714,84,11.1,38.51
12.467,-0.093,0.207,1.335,4.713,84,11.1,38.51
12.533,-0.094,0.186,1.335,4.712,84,11.1,38.5
12.6,-0.088,0.166,1.335,4.711,84,11.1,38.42
12.667,-0.055,0.207,1.333,4.709,84,11.1,38.33
12.733,-0.095,0.269,1.335,4.708,84,11.1,38.28
12.8,-0.012,0.352,1.335,4.706,84,11.1,38.24
12.867,0.179,0.352,1.332,4.704,84,11.1,38.22
