Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.009,0.497,17.997,17.997,70,15.86,50
0.065,-0.026,0.104,18.026,18.019,70,10.22,50.04
0.129,0.219,0.435,17.982,17.984,70,10.17,49.98
0.194,0.159,0.373,17.896,17.925,70,10.15,49.88
0.258,0.065,0.083,17.923,17.972,70,10.19,49.9
0.323,0.169,0.083,6.78,9.455,70,10.19,36.24
0.387,0.344,0.104,6.163,8.959,70,10.17,35.51
0.452,0.238,0.083,5.955,8.829,70,10.18,35.24
0.516,0.109,0.104,5.855,8.796,70,10.18,35.2
0.581,0.096,0.166,5.802,8.81,70,10.17,35.29
0.645,0.053,0.124,5.742,8.8,70,10.18,35.33
0.71,0,0.145,5.71,8.79,70,10.18,35.31
0.774,-0.039,0.124,5.676,8.78,70,10.17,35.23
0.839,-0.064,0.145,5.667,8.769,70,10.17,35.09
0.903,-0.061,0.186,5.651,8.756,70,10.17,34.98
0.968,-0.158,0.207,5.622,8.743,70,10.17,34.86
1.032,0.259,0.477,5.588,8.732,70,10.17,34.8
1.097,-0.155,0.124,5.554,8.719,70,10.17,34.8
1.161,-0.127,0.166,5.516,8.708,70,10.17,34.9
1.226,-0.003,0.186,5.497,8.698,69,10.17,35.03
1.29,0,0.166,5.479,8.685,69,10.17,35.2
1.355,-0.194,0.145,5.46,8.675,69,10.17,35.43
1.419,-0.206,0.145,5.439,8.663,69,10.17,35.63
1.484,-0.204,0.124,5.432,8.653,69,10.17,35.75
1.548,-0.211,0.186,5.424,8.642,69,10.17,35.88
1.613,-0.18,0.166,5.414,8.631,69,10.17,36.12
1.677,-0.244,0.124,5.406,8.62,69,10.17,36.32
1.742,-0.207,0.331,5.398,8.608,69,10.17,36.48
1.806,-0.21,0.186,5.389,8.598,69,10.17,36.59
1.871,-0.171,0.166,5.383,8.588,69,10.17,36.64
1.935,-0.043,0.124,5.378,8.578,69,10.17,36.66
2,-0.006,0.104,5.373,8.569,69,10.17,36.66
2.065,-0.203,0.104,5.364,8.559,69,10.17,36.59
2.129,-0.21,0.124,5.363,8.559,69,10.17,36.59
2.194,-0.197,0.124,5.354,8.561,69,10.17,36.51
2.258,-0.205,0.124,5.347,8.577,69,10.17,36.41
2.323,-0.165,0.104,5.342,8.609,69,10.17,36.34
2.387,-0.219,0.145,5.334,8.657,69,10.17,36.28
2.452,0.195,0.456,5.328,8.722,69,10.17,36.22
2.516,-0.19,0.186,5.327,8.805,69,10.17,36.15
2.581,-0.147,0.124,5.325,8.903,69,10.17,36.09
2.645,-0.026,0.124,5.327,9.018,69,10.17,36.03
2.71,0.05,0.145,5.332,9.144,69,10.17,35.98
2.774,-0.149,0.104,5.339,9.284,69,10.17,35.92
2.839,-0.164,0.124,5.351,9.431,69,10.17,35.85
2.903,-0.155,0.104,5.367,9.583,69,10.17,35.78
2.968,-0.169,0.124,5.391,9.742,69,10.17,35.66
3.032,-0.172,0.145,5.416,9.914,69,10.17,35.59
3.097,-0.138,0.145,5.445,10.08,69,10.17,35.55
3.161,-0.205,0.124,5.481,10.234,69,10.17,35.53
3.226,0.23,0.518,5.521,10.388,69,10.17,35.52
3.29,-0.181,0.124,5.562,10.544,69,10.17,35.49
3.355,-0.144,0.124,5.608,10.687,69,10.16,35.49
3.419,-0.017,0.104,5.654,10.807,77,10.17,35.49
3.484,0.029,0.104,5.704,10.919,77,10.17,35.49
3.548,-0.164,0.124,5.755,11.014,77,10.17,35.49
3.613,-0.173,0.145,5.808,11.083,77,10.17,35.49
3.677,-0.167,0.104,5.856,11.14,77,10.17,35.47
3.742,-0.181,0.145,5.906,11.195,77,10.17,35.43
3.806,-0.188,0.166,5.953,11.24,77,10.17,35.4
3.871,-0.188,0.124,6.002,11.27,77,10.17,35.37
3.935,-0.157,0.104,6.043,11.276,77,10.16,35.36
4,-0.17,0.104,6.083,11.267,77,10.16,35.36
