peak_index,peak_raw_ecg_value
20,0.315
36,0.21
48,0.36
60,0.345
72,0.163
80,0.149
91,0.163
102,0.11900000000000001
117,0.282
126,0.396
139,0.445
155,0.205
163,0.192
174,0.41700000000000004
186,0.311
198,0.09
210,0.21600000000000003
223,0.285
236,0.319
250,0.3
263,0.318
275,0.355
287,0.115
298,0.292
309,0.278
321,-0.363
332,-0.076
342,0.285
353,0.419
365,0.384
380,0.156
391,0.15
401,0.231
409,0.281
421,0.37200000000000005
434,0.41100000000000003
451,0.21899999999999997
460,0.152
472,0.185
488,0.375
501,0.365
511,0.28600000000000003
524,0.08199999999999999
536,0.163
549,0.237
562,0.24
578,0.10800000000000001
587,0.157
603,0.268
613,0.26899999999999996
626,0.34
640,0.11800000000000001
649,-0.11800000000000001
662,-0.04
676,0.024
691,0.171
701,-0.022000000000000002
714,0.042
727,0.002
739,-0.166
752,-0.049
765,0.05
778,0.07400000000000001
791,-0.107
803,-0.09
816,-0.016
829,0.011000000000000001
841,-0.17600000000000002
854,-0.078
867,0.059000000000000004
880,0.03
892,-0.046
906,0.166
917,0.33399999999999996
928,0.37200000000000005
939,0.456
950,0.446
964,0.26
975,0.14300000000000002
986,0.049
997,0.126
1008,0.11800000000000001
1018,0.075
1029,0.126
1040,0.196
1051,0.287
1059,0.245
1070,-0.005
1081,-0.065
1093,-0.017
1109,0.263
1118,0.195
1132,0.156
1145,0.35200000000000004
1157,0.515
1169,0.539
1181,0.474
1192,0.242
1203,0.182
1215,0.41600000000000004
1227,0.358
1239,0.38299999999999995
1252,0.221
1263,0.139
1275,0.175
1289,0.316
1303,0.391
1318,0.28
1333,0.221
1350,0.11800000000000001
1363,0.141
1376,0.225
1386,0.29
1400,0.268
1415,0.185
1432,0.16699999999999998
1442,0.213
1456,0.284
1471,0.314
1489,0.266
1499,0.252
1512,0.247
1526,0.285
1540,0.335
1555,0.24600000000000002
1569,0.237
1582,0.22
1595,0.24600000000000002
1609,0.284
1623,0.27
1636,0.233
1651,0.141
1664,0.239
1678,0.302
1692,0.223
1706,0.187
1719,0.265
1729,-0.075
1742,-0.035
1756,-0.003
1770,-0.055999999999999994
1783,-0.113
1797,-0.07200000000000001
1811,-0.005
1825,0.02
1839,0.022000000000000002
1852,-0.038
1865,-0.038
1880,0.212
1891,0.004
1905,-0.047
1919,-0.107
1932,-0.158
1945,-0.12
1958,-0.039
1971,0.0
1985,0.017
1998,-0.027999999999999997
2012,0.275
2023,-0.08199999999999999
2036,-0.013000000000000001
2050,-0.003
2063,-0.073
2075,-0.081
2088,-0.037000000000000005
2101,0.02
2114,0.013000000000000001
2128,0.013999999999999999
2141,-0.035
2154,-0.051
2166,-0.078
2181,0.268
2192,-0.023
2205,-0.049
2222,0.061
2233,-0.11
2245,-0.12300000000000001
2252,0.165
2264,0.23
2273,0.287
2286,0.299
2299,0.258
2311,0.282
2327,0.244
2336,0.345
2353,0.307
2363,0.314
2380,0.204
2389,0.22899999999999998
2401,0.225
2415,0.287
2427,0.252
2440,0.29600000000000004
2452,0.303
2465,0.314
2482,0.24100000000000002
2495,0.16699999999999998
2504,0.154
2515,0.102
2527,0.142
2540,0.318
2553,0.201
2567,0.11199999999999999
2579,0.292
2589,-0.066
2605,0.175
2617,0.040999999999999995
2624,0.273
2630,-0.027999999999999997
2636,0.215
2645,0.16899999999999998
2649,0.249
2658,0.21600000000000003
2669,0.01
2676,0.34299999999999997
2683,-0.011000000000000001
2689,0.23800000000000002
2698,0.298
2702,0.255
2711,0.267
2724,0.297
2738,0.248
2751,0.259
2763,0.258
2776,0.19399999999999998
2789,0.204
2801,0.247
2813,0.122
2824,0.196
2834,0.102
2846,0.256
2858,0.235
2870,0.253
2883,0.303
2897,0.34
2911,0.175
2923,0.226
2935,0.312
2947,0.306
2960,0.304
2973,0.303
2985,0.316
2997,0.265
3008,0.298
3019,0.256
3030,0.29600000000000004
3047,0.151
3056,0.19
3068,0.214
3081,0.153
3099,0.253
3113,0.23199999999999998
3122,0.319
3135,0.306
3148,0.36200000000000004
3162,0.34600000000000003
3179,0.239
3192,0.27699999999999997
3205,0.354
3215,0.37200000000000005
3229,0.21600000000000003
3241,0.18100000000000002
3252,-0.013999999999999999
3269,0.344
3283,0.10099999999999999
3292,-0.11
3299,0.215
3306,-0.05
3312,0.223
3320,-0.064
3326,0.185
3335,0.024
3345,-0.162
