peak_index,peak_raw_ecg_value
8,0.276
19,0.3
31,0.327
43,0.196
56,0.284
73,0.109
81,0.253
92,0.262
103,0.294
116,0.36
131,0.33799999999999997
146,0.36700000000000005
159,0.292
171,0.28
182,0.273
193,0.179
204,0.26899999999999996
218,0.239
231,0.33899999999999997
244,0.303
256,0.26
267,0.29100000000000004
280,0.326
293,0.24
307,0.34600000000000003
319,0.281
330,0.27
341,0.292
354,0.366
368,0.267
383,0.325
395,0.14300000000000002
407,0.292
420,0.32
433,0.31
448,0.36200000000000004
462,0.282
473,0.21100000000000002
485,0.271
497,0.28600000000000003
511,0.35700000000000004
527,0.37200000000000005
542,0.35700000000000004
556,0.313
568,0.27699999999999997
579,0.24100000000000002
591,0.32899999999999996
604,0.35100000000000003
619,0.37799999999999995
633,0.33899999999999997
644,0.131
656,0.215
667,0.35600000000000004
680,0.373
694,0.36
707,0.299
718,0.26
729,0.271
741,0.272
755,0.151
771,0.366
797,0.134
809,0.253
821,0.324
835,0.193
850,0.37200000000000005
863,0.311
875,0.295
886,0.314
897,0.34700000000000003
909,0.33899999999999997
924,0.185
938,0.28300000000000003
950,0.273
962,0.276
974,0.29600000000000004
989,0.22
1003,0.248
1015,0.302
1026,0.27699999999999997
1038,0.309
1049,0.327
1062,0.18600000000000003
1075,0.303
1087,0.132
1099,0.28600000000000003
1114,0.371
1129,0.308
1145,0.235
1157,0.281
1169,0.31
1182,0.287
1197,0.254
1213,0.358
1228,0.35200000000000004
1240,0.28600000000000003
1252,0.308
1265,0.336
1280,0.348
1299,0.114
1319,0.247
1332,0.361
1348,0.402
1363,0.32899999999999996
1375,0.29600000000000004
1387,0.39299999999999996
1399,0.38299999999999995
1413,0.20800000000000002
1424,0.21
1435,0.11800000000000001
1447,0.312
1459,0.306
1473,0.35700000000000004
1488,0.358
1501,0.293
1513,0.268
1525,0.28
1538,0.344
1553,0.344
1566,0.322
1578,0.242
1589,0.251
1601,0.348
1613,0.33399999999999996
1628,0.314
1640,0.292
1651,0.293
1663,0.35
1680,0.151
1690,0.345
1702,0.305
1715,0.348
1729,0.306
1744,0.368
1757,0.255
1769,0.316
1782,0.361
1796,0.255
1808,0.314
1819,0.316
1831,0.374
1844,0.384
1857,0.316
1869,0.28300000000000003
1881,0.32
1894,0.353
1908,0.34700000000000003
1920,0.285
1932,0.317
1945,0.204
1957,0.325
1970,0.214
1981,0.27899999999999997
1992,0.319
2004,0.364
2017,0.382
2031,0.21600000000000003
2042,0.18100000000000002
2054,0.349
2067,0.373
2080,0.336
2092,0.265
2102,0.24600000000000002
2114,0.161
2126,0.35200000000000004
2141,0.382
2155,0.318
2167,0.294
2178,0.317
2190,0.336
2203,0.34700000000000003
2218,0.26
2231,0.298
2243,0.294
2255,0.326
2269,0.359
2283,0.37
2296,0.20800000000000002
2308,0.29
2320,0.195
2332,0.34700000000000003
2346,0.386
2360,0.35600000000000004
2372,0.312
2382,0.33899999999999997
2395,0.34299999999999997
2407,0.371
2420,0.163
2431,0.258
2442,0.27899999999999997
2454,0.303
2467,0.134
2481,0.355
2493,0.29
2504,0.20199999999999999
2516,0.32299999999999995
2528,0.35
2542,0.17600000000000002
2557,0.366
2570,0.303
2581,0.254
2593,0.133
2604,0.313
2618,0.271
2632,0.317
2644,0.29600000000000004
2655,0.326
2667,0.361
2681,0.225
2696,0.37200000000000005
2709,0.268
2721,0.31
2732,0.35100000000000003
2744,0.326
2757,0.249
2773,0.32899999999999996
2792,0.10400000000000001
2803,0.16399999999999998
2812,0.318
2826,0.34700000000000003
2841,0.331
2856,0.33899999999999997
2868,0.297
2880,0.309
2892,0.341
2905,0.384
2920,0.354
2934,0.322
2946,0.174
2958,0.312
2970,0.368
2982,0.254
2996,0.28800000000000003
3008,0.305
3019,0.29100000000000004
3031,0.297
3044,0.41700000000000004
3060,0.41200000000000003
3073,0.336
