peak_index,peak_raw_ecg_value
6,0.344
16,0.259
31,-0.006
38,0.195
50,0.23
63,0.045
79,-0.23199999999999998
92,-0.7509999999999999
104,-0.758
119,-0.184
133,0.027000000000000003
145,0.185
156,0.373
168,0.602
185,0.748
217,0.424
241,0.6629999999999999
257,0.5660000000000001
273,0.5920000000000001
286,0.43
298,0.478
315,0.504
330,0.345
342,0.228
351,0.45799999999999996
367,0.47600000000000003
382,0.405
397,0.294
408,0.132
420,0.31
433,0.368
448,0.363
462,0.254
474,0.225
486,0.299
500,0.354
516,0.33299999999999996
530,0.231
541,0.22899999999999998
553,0.207
569,0.316
586,0.35600000000000004
602,0.282
614,0.248
628,0.32299999999999995
644,0.36200000000000004
659,0.272
671,0.152
684,0.389
696,0.525
707,0.315
720,0.322
735,0.09699999999999999
750,-0.59
761,-0.627
774,-0.281
783,0.031
796,0.284
809,0.299
820,0.638
833,0.693
847,0.581
860,0.38799999999999996
872,0.506
885,0.544
900,0.444
913,0.43700000000000006
925,0.732
936,1.146
948,1.496
962,1.232
975,0.644
988,0.214
1002,-0.033
1014,-0.243
1027,-0.18600000000000003
1042,-0.13
1053,-0.292
1065,-0.065
1078,0.068
1092,0.213
1105,0.7859999999999999
1116,0.5529999999999999
1128,0.326
1139,-0.8220000000000001
1149,-0.862
1159,-0.8059999999999999
1170,-0.7490000000000001
1182,-0.542
1193,-0.183
1204,-0.136
1218,-0.634
1235,0.11
1246,0.076
1258,-0.069
1280,0.546
1292,0.6509999999999999
1316,0.32799999999999996
1328,0.6779999999999999
1341,0.958
1354,0.818
1367,0.785
1379,0.909
1394,0.14300000000000002
1409,-0.141
1420,0.31
1431,0.982
1438,1.129
1449,1.004
1459,1.018
1471,0.715
1482,0.35100000000000003
1494,0.737
1505,0.441
1517,0.307
1529,0.597
1541,3.985
1552,3.468
1563,1.79
1577,-0.23399999999999999
1588,-1.5390000000000001
1599,-1.459
1610,-1.254
1622,-1.361
1632,-1.4240000000000002
1643,-1.208
1653,-0.607
1664,-0.113
1675,-0.293
1685,-0.121
1696,0.08900000000000001
1707,0.562
1719,1.033
1731,0.6829999999999999
1741,0.418
1752,0.63
1765,0.636
1778,0.46799999999999997
1793,0.47200000000000003
1805,0.289
1817,0.34299999999999997
1830,0.345
1846,0.40700000000000003
1858,0.332
1869,0.355
1880,0.44799999999999995
1897,0.451
1914,0.526
1929,0.33799999999999997
1945,0.162
1955,0.275
1970,0.515
1985,0.32799999999999996
1997,0.285
2013,0.28800000000000003
2028,0.27
2040,0.106
2054,0.322
2068,0.205
2080,0.21
2091,0.21600000000000003
2103,0.307
2117,0.369
2130,0.222
2141,0.185
2154,0.213
2168,0.27
2182,0.12300000000000001
2194,0.217
2206,0.304
2219,0.33399999999999996
2232,0.316
2245,0.247
2256,0.222
2267,0.29100000000000004
2280,0.48100000000000004
2292,0.507
2304,0.401
2315,0.33299999999999996
2327,0.32
2339,0.18600000000000003
2352,0.195
2364,0.03
2374,0.098
2386,0.19399999999999998
2398,0.233
2411,0.226
2422,0.11199999999999999
2437,0.076
2446,0.32799999999999996
2459,0.295
2472,0.27399999999999997
2487,0.126
2497,0.33
2512,0.273
2535,0.26
2549,0.289
2561,0.207
2573,0.311
2587,0.40700000000000003
2599,0.215
2610,1.18
2621,3.54
2633,2.674
2644,0.773
2656,-0.21
2668,-0.754
2680,-1.036
2691,-1.1420000000000001
2702,-0.925
2714,-0.669
2725,-0.526
2737,-0.335
2748,-0.166
2760,0.08
2772,0.027000000000000003
2786,0.209
2798,0.218
2809,0.325
2822,0.46299999999999997
2835,0.456
2851,0.36
2862,0.441
2874,0.486
2888,0.527
2901,0.408
2912,0.21899999999999997
2924,0.41600000000000004
2937,0.35
2949,0.305
2961,0.331
2974,0.40700000000000003
2990,0.521
3003,0.29
3014,0.369
3027,0.436
3040,0.42
3052,0.319
3063,0.336
3075,0.42100000000000004
3088,0.19
3100,0.221
3112,0.141
3123,0.26899999999999996
3135,0.28600000000000003
3148,0.358
3159,0.218
3170,0.141
3182,0.408
3194,0.40399999999999997
3207,0.33799999999999997
3219,0.092
3229,0.13
3241,0.32299999999999995
3253,0.285
3273,0.124
3282,0.31
3294,0.321
3307,0.379
3321,0.374
3334,0.263
3346,0.322
3359,0.37799999999999995
3375,0.376
3394,0.18100000000000002
3415,0.255
3442,0.309
3456,0.18899999999999997
3468,0.428
3482,0.442
3496,0.40399999999999997
3511,0.08
3523,0.131
3535,0.095
3544,0.27699999999999997
3557,0.146
3569,0.21
3581,0.358
3593,0.341
3605,0.183
3616,0.308
3628,0.355
3642,0.28600000000000003
3654,0.225
3666,0.36200000000000004
3678,0.371
3690,0.255
3702,0.19399999999999998
3712,0.257
3724,0.377
3737,0.287
3748,0.11199999999999999
3759,0.23199999999999998
3771,0.341
3784,0.28800000000000003
3795,0.156
3807,0.465
3819,0.45799999999999996
3830,0.27
3842,0.29
3853,0.254
3866,0.257
3878,0.17800000000000002
3889,0.204
3901,0.278
3913,0.209
3924,0.17800000000000002
3934,0.258
3946,0.332
3959,0.289
3973,0.11800000000000001
3985,0.20199999999999999
3998,0.127
4012,0.19
4026,0.376
4040,0.318
4052,0.337
4065,0.251
4079,0.273
4092,0.27
4107,0.22399999999999998
4117,0.38799999999999996
4129,0.327
4140,0.259
4153,0.382
4167,0.386
4179,0.32299999999999995
4191,0.379
4203,0.26899999999999996
4215,0.331
4226,0.29600000000000004
4237,0.284
4249,0.243
4260,0.292
4272,0.226
4285,0.382
4300,0.33
4311,0.08800000000000001
4323,0.308
4335,0.311
4347,0.068
4359,0.17300000000000001
4370,0.321
4383,0.217
4397,0.17800000000000002
4408,0.284
4420,0.32799999999999996
4433,0.33299999999999996
4446,0.312
4457,0.096
4469,0.248
4480,0.193
4494,0.17800000000000002
4507,0.22899999999999998
4519,0.242
4531,0.20199999999999999
4546,0.294
4558,0.257
4570,0.28600000000000003
4586,0.368
4601,0.239
4613,0.331
4626,0.344
4639,0.32799999999999996
4652,0.249
4664,0.17600000000000002
4676,0.14
4689,0.33899999999999997
4702,0.256
4714,0.255
4726,0.27899999999999997
4739,0.395
4751,0.22
4761,0.332
4773,0.183
4784,0.35700000000000004
4796,0.287
4807,0.109
4818,0.271
4830,0.222
4842,0.261
4853,0.28800000000000003
4864,0.295
4875,0.11599999999999999
4886,0.12
4898,0.14400000000000002
4910,0.134
4921,0.18100000000000002
4932,0.309
4944,0.303
4956,0.276
4967,0.23
4979,0.168
4990,0.29
5003,0.37
5015,0.322
5026,0.345
5037,0.29100000000000004
5050,0.40299999999999997
5063,0.366
5076,0.38
5089,0.37200000000000005
5100,0.34299999999999997
5111,0.387
5123,0.395
5136,0.266
5150,0.34700000000000003
5162,0.243
5173,0.33799999999999997
5186,0.342
5200,0.33
5213,0.315
5224,0.292
5236,0.366
5248,0.268
5260,0.307
5271,0.299
5284,0.325
5296,0.122
5308,0.132
5320,0.284
5332,0.326
5344,0.262
5357,0.332
5373,0.127
5384,0.154
5392,0.265
5404,0.371
5415,0.22899999999999998
5426,0.205
5437,0.179
5447,0.27
5459,0.19399999999999998
5472,0.257
5483,0.248
5494,0.368
5505,0.396
5517,0.111
5528,0.073
5539,0.262
5552,0.318
5564,0.163
5576,0.275
5588,0.064
5603,-0.217
5616,-0.433
5628,-0.243
5639,-0.077
5651,0.094
5664,0.12300000000000001
5678,0.402
5694,0.209
5706,0.217
5720,0.11
5731,0.418
5743,0.611
5756,0.523
5769,0.488
5782,0.513
5794,0.456
5804,0.498
5819,0.565
5833,0.546
5846,0.46799999999999997
5858,0.465
5870,0.516
5884,0.413
5898,0.272
5912,0.345
5924,0.35200000000000004
5936,0.369
5952,0.41
5968,0.414
5984,0.397
5998,0.276
6009,0.264
6019,0.364
6031,0.41700000000000004
6046,0.23800000000000002
6061,0.39799999999999996
6074,0.223
6085,0.22
6101,0.213
6117,0.324
6137,0.12
6150,0.151
6162,0.141
6172,0.292
6187,0.31
6209,0.175
6221,0.26
6233,0.25
6245,0.26899999999999996
6260,0.313
6276,0.312
6293,0.255
6309,0.306
6321,0.313
6333,0.332
6347,0.361
6360,0.298
6373,0.237
6384,0.18
6396,0.26899999999999996
6412,0.34600000000000003
6428,0.275
6440,0.293
6452,0.31
6465,0.336
6478,0.305
6490,0.299
6501,0.319
6514,0.23
6528,0.36
6543,0.16699999999999998
6557,0.21600000000000003
6569,0.344
6581,0.369
6595,0.387
6610,0.345
6626,0.177
6638,0.207
6648,0.43200000000000005
6661,0.37
6673,0.203
6684,0.316
6697,0.248
6710,0.345
6722,0.273
6733,0.31
6745,0.345
6758,0.336
6771,0.243
6784,0.266
6795,0.289
6808,0.306
6821,0.418
6833,0.344
6846,0.46299999999999997
6857,0.267
6868,0.141
6878,0.091
6890,0.098
6901,-0.177
6914,0.068
6926,0.141
6939,0.214
6950,0.18899999999999997
6962,0.157
6974,0.275
6987,0.38799999999999996
7000,0.433
7012,0.397
7023,0.41600000000000004
7034,0.451
7048,0.48700000000000004
7063,0.47600000000000003
7078,0.47
7095,0.311
7106,0.29600000000000004
7117,0.308
7125,0.41
7139,0.42200000000000004
7154,0.423
7169,0.43799999999999994
7184,0.292
7199,0.257
7210,0.18
7223,0.18
7238,0.39399999999999996
7251,0.401
7262,0.41
7273,0.389
7284,0.359
7296,0.262
7306,0.23399999999999999
7317,0.19699999999999998
7329,0.353
7341,0.32
7352,0.309
7362,0.439
7375,0.384
7387,0.27
7399,-0.004
7409,-0.002
7421,0.231
7433,0.34299999999999997
7445,0.348
7457,0.34
7468,0.33
7484,0.247
7493,0.374
7509,0.152
7518,0.451
7530,0.568
7541,0.365
7552,0.261
7564,0.124
7576,0.20800000000000002
7587,0.14800000000000002
7598,0.16
7610,0.157
7622,0.079
7633,0.188
7643,0.205
7654,0.38299999999999995
7665,0.36
7678,0.495
7690,0.451
7702,0.381
7713,0.27
7725,0.24600000000000002
7737,0.24100000000000002
7750,0.20600000000000002
7761,0.28600000000000003
7772,0.141
7783,0.161
7795,-0.201
7806,-0.475
7818,-0.047
7830,0.42100000000000004
7842,0.43700000000000006
7853,0.35700000000000004
7865,0.201
7876,0.17800000000000002
7890,0.307
7898,0.66
7910,0.6890000000000001
7921,0.521
7932,0.409
7943,0.36
7954,0.321
7965,0.308
7977,0.324
7992,0.062
8003,-0.027999999999999997
8014,0.28800000000000003
8022,0.542
8034,0.293
8045,0.23800000000000002
8056,0.484
8068,0.442
8080,0.40399999999999997
8091,0.31
8102,0.28
8114,0.265
8125,0.239
8136,0.141
8147,0.18
8158,0.213
8170,0.251
8183,0.054000000000000006
8194,0.154
8206,0.35
8217,0.096
8230,0.08900000000000001
8240,0.149
8251,0.298
8262,0.09
8273,0.27899999999999997
8285,0.51
8296,0.634
8307,0.589
8319,0.508
8330,0.355
8341,0.311
8352,0.308
8363,0.26
8375,0.179
8386,0.28300000000000003
8396,0.23600000000000002
8407,0.27699999999999997
8418,0.162
8429,0.184
8444,0.057
8451,0.239
8463,0.38299999999999995
8475,0.39799999999999996
8487,0.35700000000000004
