,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.548,137,N,0,0,0,,
1,0:01.220,305,N,0,0,0,,
2,0:01.900,475,N,0,0,0,,
3,0:02.576,644,N,0,0,0,,
4,0:03.256,814,N,0,0,0,,
5,0:03.964,991,N,0,0,0,,
6,0:04.652,1163,N,0,0,0,,
7,0:05.340,1335,N,0,0,0,,
8,0:06.000,1500,N,0,0,0,,
9,0:06.680,1670,N,0,0,0,,
10,0:07.352,1838,N,0,0,0,,
11,0:08.024,2006,N,0,0,0,,
12,0:08.700,2175,N,0,0,0,,
13,0:09.356,2339,N,0,0,0,,
14,0:10.032,2508,N,0,0,0,,
15,0:10.708,2677,N,0,0,0,,
16,0:11.380,2845,N,0,0,0,,
17,0:12.036,3009,N,0,0,0,,
18,0:12.708,3177,N,0,0,0,,
19,0:13.388,3347,N,0,0,0,,
20,0:14.060,3515,N,0,0,0,,
21,0:14.744,3686,N,0,0,0,,
22,0:15.416,3854,N,0,0,0,,
23,0:16.072,4018,N,0,0,0,,
24,0:16.736,4184,N,0,0,0,,
25,0:17.408,4352,N,0,0,0,,
26,0:18.072,4518,N,0,0,0,,
27,0:18.724,4681,N,0,0,0,,
28,0:19.388,4847,N,0,0,0,,
29,0:20.052,5013,N,0,0,0,,
30,0:20.724,5181,N,0,0,0,,
31,0:21.400,5350,N,0,0,0,,
32,0:22.072,5518,N,0,0,0,,
33,0:22.740,5685,N,0,0,0,,
34,0:23.408,5852,N,0,0,0,,
35,0:24.056,6014,N,0,0,0,,
36,0:24.716,6179,N,0,0,0,,
37,0:25.380,6345,N,0,0,0,,
38,0:26.052,6513,N,0,0,0,,
39,0:26.724,6681,N,0,0,0,,
40,0:27.400,6850,N,0,0,0,,
41,0:28.072,7018,N,0,0,0,,
42,0:28.740,7185,N,0,0,0,,
43,0:29.408,7352,N,0,0,0,,
44,0:30.052,7513,N,0,0,0,,
45,0:30.716,7679,N,0,0,0,,
46,0:31.384,7846,N,0,0,0,,
47,0:32.044,8011,N,0,0,0,,
48,0:32.708,8177,N,0,0,0,,
49,0:33.368,8342,N,0,0,0,,
50,0:34.000,8500,N,0,0,0,,
51,0:34.660,8665,N,0,0,0,,
52,0:35.320,8830,N,0,0,0,,
53,0:35.960,8990,N,0,0,0,,
54,0:36.624,9156,N,0,0,0,,
55,0:37.284,9321,N,0,0,0,,
56,0:37.940,9485,N,0,0,0,,
57,0:38.600,9650,N,0,0,0,,
58,0:39.248,9812,N,0,0,0,,
59,0:39.900,9975,N,0,0,0,,
60,0:40.544,10136,N,0,0,0,,
61,0:41.184,10296,N,0,0,0,,
62,0:41.816,10454,N,0,0,0,,
63,0:42.436,10609,N,0,0,0,,
64,0:43.080,10770,N,0,0,0,,
