,Time,Sample,#,Type,Sub,Chan,Num,Aux
0,0:00.040,10,N,0,0,0,,
1,0:00.396,99,~,0,0,0,,
2,0:00.752,188,N,0,0,0,,
3,0:01.456,364,N,0,0,0,,
4,0:02.160,540,N,0,0,0,,
5,0:02.864,716,N,0,0,0,,
6,0:03.568,892,N,0,0,0,,
7,0:04.272,1068,N,0,0,0,,
8,0:04.976,1244,N,0,0,0,,
9,0:05.688,1422,N,0,0,0,,
10,0:06.400,1600,N,0,0,0,,
11,0:07.112,1778,N,0,0,0,,
12,0:07.616,1904,V,0,0,0,,
13,0:08.544,2136,N,0,0,0,,
14,0:09.272,2318,N,0,0,0,,
15,0:09.992,2498,N,0,0,0,,
16,0:10.720,2680,N,0,0,0,,
17,0:11.448,2862,N,0,0,0,,
18,0:12.176,3044,N,0,0,0,,
19,0:12.896,3224,N,0,0,0,,
20,0:13.632,3408,N,0,0,0,,
21,0:14.360,3590,N,0,0,0,,
22,0:15.096,3774,N,0,0,0,,
23,0:15.848,3962,N,0,0,0,,
24,0:16.608,4152,N,0,0,0,,
25,0:17.344,4336,N,0,0,0,,
26,0:18.088,4522,N,0,0,0,,
27,0:18.824,4706,N,0,0,0,,
28,0:19.552,4888,N,0,0,0,,
29,0:20.288,5072,N,0,0,0,,
30,0:21.040,5260,N,0,0,0,,
31,0:21.776,5444,N,0,0,0,,
32,0:22.504,5626,N,0,0,0,,
33,0:23.280,5820,N,0,0,0,,
34,0:24.024,6006,N,0,0,0,,
35,0:24.760,6190,N,0,0,0,,
36,0:25.496,6374,N,0,0,0,,
37,0:26.224,6556,N,0,0,0,,
38,0:26.952,6738,N,0,0,0,,
39,0:27.688,6922,N,0,0,0,,
40,0:28.424,7106,N,0,0,0,,
41,0:29.168,7292,N,0,0,0,,
42,0:29.928,7482,N,0,0,0,,
43,0:30.672,7668,N,0,0,0,,
44,0:31.416,7854,N,0,0,0,,
45,0:32.168,8042,N,0,0,0,,
46,0:32.952,8238,N,0,0,0,,
47,0:33.736,8434,N,0,0,0,,
48,0:34.504,8626,N,0,0,0,,
49,0:35.280,8820,N,0,0,0,,
50,0:36.064,9016,N,0,0,0,,
51,0:36.856,9214,N,0,0,0,,
52,0:37.640,9410,N,0,0,0,,
53,0:38.424,9606,N,0,0,0,,
54,0:39.208,9802,N,0,0,0,,
55,0:40.000,10000,N,0,0,0,,
56,0:40.784,10196,N,0,0,0,,
57,0:41.568,10392,N,0,0,0,,
58,0:42.352,10588,N,0,0,0,,
59,0:43.128,10782,N,0,0,0,,
60,0:43.920,10980,N,0,0,0,,
61,0:44.704,11176,N,0,0,0,,
62,0:45.488,11372,N,0,0,0,,
63,0:46.264,11566,N,0,0,0,,
64,0:47.056,11764,N,0,0,0,,
65,0:47.848,11962,N,0,0,0,,
66,0:48.640,12160,N,0,0,0,,
67,0:49.432,12358,N,0,0,0,,
68,0:50.216,12554,N,0,0,0,,
69,0:51.000,12750,N,0,0,0,,
70,0:51.784,12946,N,0,0,0,,
71,0:52.576,13144,N,0,0,0,,
72,0:53.368,13342,N,0,0,0,,
73,0:54.152,13538,N,0,0,0,,
74,0:54.936,13734,N,0,0,0,,
75,0:55.712,13928,N,0,0,0,,
76,0:56.480,14120,N,0,0,0,,
77,0:57.248,14312,N,0,0,0,,
78,0:58.016,14504,N,0,0,0,,
79,0:58.776,14694,N,0,0,0,,
80,0:59.512,14878,N,0,0,0,,
81,1:00.240,15060,N,0,0,0,,
82,1:00.968,15242,N,0,0,0,,
83,1:01.688,15422,N,0,0,0,,
84,1:02.416,15604,N,0,0,0,,
85,1:03.144,15786,N,0,0,0,,
86,1:03.872,15968,N,0,0,0,,
87,1:04.600,16150,N,0,0,0,,
88,1:05.336,16334,N,0,0,0,,
89,1:06.064,16516,N,0,0,0,,
90,1:06.808,16702,N,0,0,0,,
91,1:07.552,16888,N,0,0,0,,
92,1:08.344,17086,N,0,0,0,,
93,1:09.120,17280,N,0,0,0,,
94,1:09.872,17468,N,0,0,0,,
95,1:10.640,17660,N,0,0,0,,
96,1:11.400,17850,N,0,0,0,,
97,1:12.168,18042,N,0,0,0,,
98,1:12.944,18236,N,0,0,0,,
99,1:13.712,18428,N,0,0,0,,
100,1:14.480,18620,N,0,0,0,,
101,1:15.264,18816,N,0,0,0,,
102,1:16.048,19012,N,0,0,0,,
103,1:16.832,19208,N,0,0,0,,
104,1:17.608,19402,N,0,0,0,,
105,1:18.392,19598,N,0,0,0,,
106,1:19.176,19794,N,0,0,0,,
107,1:19.968,19992,N,0,0,0,,
108,1:20.760,20190,N,0,0,0,,
109,1:21.552,20388,N,0,0,0,,
110,1:22.344,20586,N,0,0,0,,
111,1:23.144,20786,N,0,0,0,,
112,1:23.936,20984,N,0,0,0,,
113,1:24.736,21184,N,0,0,0,,
114,1:25.536,21384,N,0,0,0,,
115,1:26.336,21584,N,0,0,0,,
116,1:27.128,21782,N,0,0,0,,
117,1:27.928,21982,N,0,0,0,,
118,1:28.728,22182,N,0,0,0,,
119,1:29.528,22382,N,0,0,0,,
120,1:30.336,22584,N,0,0,0,,
121,1:31.136,22784,N,0,0,0,,
122,1:31.936,22984,N,0,0,0,,
