peak_index,peak_raw_ecg_value
161,1.76
402,1.32
642,1.26
865,1.055
1087,1.52
1315,1.54
1529,1.61
1762,1.615
2011,1.57
2264,1.54
2525,1.715
2749,1.66
2976,1.275
3203,1.205
3428,1.285
3637,1.26
3840,1.68
4054,1.62
4276,1.505
4503,1.015
4736,0.96
4980,0.9
5218,0.9
5455,0.905
5666,1.015
5876,0.77
6088,1.045
6312,1.19
6536,1.205
6760,1.195
6966,1.275
7163,1.355
7357,1.345
7559,1.32
7776,1.35
7990,1.755
8216,1.715
8446,1.7
8679,1.455
8884,1.96
9084,1.915
9282,2.045
9476,1.785
9675,1.57
9885,1.53
10110,1.54
10339,1.355
10554,1.645
10776,1.56
11000,1.22
11211,1.56
11424,1.555
11637,1.71
11853,1.635
12075,1.655
12301,1.44
12510,1.51
12723,1.695
12940,1.62
13169,1.515
13394,1.37
13606,1.545
13816,1.77
14034,1.72
14261,1.625
14492,1.44
14714,1.735
14940,1.72
15170,1.605
15412,1.585
15650,1.58
15878,1.345
16103,1.335
16320,1.365
16528,1.715
16742,1.785
16966,1.785
17196,1.55
17434,1.74
17684,1.62
17934,1.755
18162,1.43
18373,1.8
18590,1.71
18815,1.72
19057,1.33
19295,1.375
19532,1.31
19750,1.405
19976,1.735
20191,1.87
20416,1.79
20639,1.71
20872,1.465
21114,1.225
21335,1.295
21557,1.595
21782,1.61
22011,1.41
22251,1.4
22486,1.26
22723,1.37
22951,1.25
23177,1.17
23408,1.165
23623,1.31
23831,1.32
24028,1.35
24220,1.295
24428,1.255
24646,1.23
24875,1.225
25104,1.22
25344,1.265
25561,1.22
25784,1.2
26013,1.09
26230,1.075
26446,1.22
26665,1.32
26895,1.69
27123,1.68
27353,1.66
27592,1.535
27811,1.615
28039,1.56
28274,1.49
28512,1.435
28753,1.26
28982,1.21
29211,1.575
29444,1.53
29673,1.65
29912,1.52
30142,1.245
30368,1.56
30601,1.575
30836,1.565
31078,1.28
31325,1.215
31552,1.19
31777,1.21
32009,1.19
32240,1.22
32464,1.18
32690,1.21
32917,1.16
33131,1.34
33345,1.47
33563,1.64
33772,1.715
33990,1.6
34214,1.48
34447,1.54
34662,1.605
34885,1.545
35109,1.515
35325,1.615
35541,1.66
35764,1.555
35993,1.265
36222,1.235
36440,1.235
36655,1.56
36866,1.525
37068,1.09
37263,0.93
37442,1.085
37616,0.94
37788,0.91
37962,1.015
38134,1.055
38302,1.13
38484,1.065
38711,1.39
38952,1.46
39188,1.39
39436,1.61
39678,1.545
39910,1.71
40140,1.705
40368,1.735
40586,1.695
40804,1.695
41027,1.685
41261,1.345
41495,1.36
41732,1.25
41959,1.23
42187,1.58
42415,1.58
42650,1.395
42875,1.42
43099,1.265
43314,1.405
43519,1.345
43713,1.37
43907,1.315
44116,1.25
44349,1.25
44586,1.28
44828,1.24
45054,1.77
45277,1.77
45498,1.685
45730,1.695
45967,1.645
46201,1.725
46432,1.685
46663,1.655
46891,1.68
47121,1.855
