peak_index,peak_raw_ecg_value
279,-0.565
493,-0.6
722,-0.6
957,-0.59
1190,-0.59
1428,-0.6
1669,-0.675
1902,-0.66
2133,-0.625
2361,-0.605
2573,-0.585
2784,-0.565
3000,-0.585
3240,-0.605
3490,-0.625
3734,-0.62
3979,-0.62
4211,-0.625
4429,-0.655
4637,-0.59
4845,-0.57
5053,-0.59
5278,-0.63
5517,-0.605
5746,-0.56
5971,-0.575
6202,-0.6
6438,-0.63
6667,-0.61
6892,-0.66
7119,-0.64
7344,-0.65
7564,-0.65
7786,-0.66
8002,-0.64
8214,-0.605
8429,-0.6
8668,-0.66
8901,-0.625
9130,-0.595
9367,-0.585
9621,-0.605
9871,-0.62
10100,-0.6
10318,-0.59
10546,-0.585
10776,-0.6
11000,-0.625
11224,-0.605
11454,-0.6
11688,-0.65
11922,-0.635
12162,-0.65
12385,-0.605
12594,-0.575
12803,-0.61
13024,-0.63
13260,-0.63
13490,-0.6
13714,-0.575
13941,-0.575
14171,-0.59
14411,-0.6
14641,-0.61
14863,-0.585
15080,-0.61
15299,-0.62
15517,-0.62
15731,-0.6
15943,-0.61
16164,-0.65
16388,-0.68
16604,-0.625
16811,-0.595
17024,-0.6
17237,-0.63
17444,-0.61
17644,-0.555
17842,-0.6
18045,-0.65
18244,-0.62
18441,-0.585
18640,-0.57
18846,-0.6
19047,-0.61
19241,-0.565
19433,-0.565
19625,-0.555
19811,-0.56
19994,-0.61
20192,-0.68
20410,-0.72
20631,-0.635
20850,-0.625
21064,-0.575
21279,-0.57
21493,-0.605
21703,-0.63
21915,-0.705
22128,-0.68
22336,-0.625
22537,-0.59
22736,-0.585
22936,-0.63
23139,-0.71
23337,-0.685
23533,-0.585
23728,-0.565
23929,-0.57
24139,-0.595
24351,-0.57
24553,-0.55
24755,-0.54
24960,-0.545
25172,-0.535
25386,-0.56
25602,-0.57
25820,-0.595
26042,-0.725
26253,-0.625
26457,-0.585
26660,-0.58
26872,-0.61
27093,-0.62
27312,-0.605
27529,-0.61
27747,-0.675
27965,-0.655
28176,-0.61
28383,-0.63
28591,-0.67
28796,-0.785
28989,-0.61
29181,-0.57
29384,-0.6
29609,-0.635
29838,-0.605
30067,-0.6
30297,-0.66
30510,-0.61
30709,-0.575
30906,-0.565
31105,-0.585
31308,-0.61
31518,-0.65
31734,-0.675
31959,-0.63
32170,-0.58
32368,-0.565
32564,-0.585
32765,-0.62
32966,-0.625
33164,-0.585
33364,-0.565
33575,-0.585
33792,-0.6
34004,-0.605
34216,-0.585
34422,-0.575
34632,-0.58
34841,-0.58
35059,-0.635
35283,-0.65
35505,-0.61
35723,-0.605
35939,-0.6
36152,-0.625
36359,-0.635
36565,-0.615
36774,-0.635
36980,-0.595
37175,-0.57
37370,-0.575
37579,-0.595
37814,-0.605
38055,-0.61
38287,-0.62
38514,-0.605
38725,-0.565
38930,-0.57
39132,-0.6
39345,-0.625
39558,-0.65
39772,-0.605
39989,-0.585
40218,-0.6
40446,-0.595
40661,-0.58
40868,-0.57
41074,-0.565
41282,-0.595
41493,-0.625
41707,-0.64
41920,-0.635
42133,-0.625
42340,-0.6
42546,-0.605
42744,-0.585
42936,-0.565
43121,-0.56
43307,-0.565
43491,-0.61
43677,-0.625
43874,-0.635
44080,-0.6
44290,-0.63
44501,-0.59
44709,-0.57
44921,-0.575
45135,-0.595
45348,-0.59
45553,-0.66
45757,-0.67
45957,-0.6
46154,-0.575
46347,-0.57
46541,-0.605
46742,-0.705
46940,-0.675
47135,-0.6
47329,-0.59
47530,-0.625
47727,-0.61
47918,-0.59
48101,-0.63
48283,-0.695
48462,-0.665
48641,-0.6
48821,-0.66
49012,-0.655
49213,-0.64
49420,-0.63
49621,-0.58
49819,-0.565
50023,-0.585
50232,-0.66
50441,-0.67
50659,-0.61
50875,-0.6
51089,-0.57
51300,-0.57
51507,-0.6
51720,-0.61
51932,-0.59
52140,-0.62
52346,-0.645
52545,-0.59
52746,-0.585
52946,-0.655
53153,-0.61
53364,-0.595
53571,-0.6
53778,-0.625
53978,-0.595
54175,-0.58
54368,-0.54
54557,-0.555
54749,-0.59
54952,-0.605
55158,-0.585
55364,-0.595
55574,-0.635
55793,-0.64
56012,-0.59
56230,-0.605
56451,-0.61
56678,-0.675
56908,-0.7
57129,-0.66
57349,-0.64
57566,-0.625
57779,-0.62
57978,-0.575
58179,-0.56
58384,-0.595
58601,-0.62
58821,-0.625
59043,-0.63
59260,-0.635
59464,-0.58
59665,-0.57
59869,-0.605
60078,-0.655
60291,-0.67
60500,-0.655
60711,-0.635
60922,-0.625
61127,-0.63
61322,-0.585
61516,-0.58
61716,-0.605
61921,-0.625
62137,-0.63
62361,-0.685
62577,-0.64
62779,-0.64
62978,-0.67
63181,-0.65
63390,-0.585
63597,-0.59
63809,-0.64
64022,-0.575
64234,-0.565
64450,-0.57
64673,-0.61
64894,-0.68
65103,-0.62
65310,-0.585
65512,-0.59
65718,-0.605
65924,-0.64
66125,-0.66
66329,-0.635
66539,-0.655
66749,-0.67
66953,-0.665
67150,-0.605
67350,-0.605
67552,-0.605
67758,-0.64
67970,-0.675
68187,-0.635
68404,-0.735
68607,-0.6
68804,-0.585
69001,-0.59
69197,-0.605
69395,-0.585
69599,-0.585
69814,-0.605
70033,-0.605
70251,-0.61
70466,-0.65
70678,-0.72
70882,-0.635
71077,-0.575
71267,-0.565
71458,-0.54
71642,-0.575
71825,-0.585
72015,-0.635
72221,-0.615
72429,-0.625
72636,-0.665
72847,-0.68
73061,-0.675
73277,-0.655
73484,-0.64
73685,-0.675
73883,-0.585
74079,-0.565
74270,-0.59
74471,-0.69
74682,-0.705
74898,-0.665
75113,-0.64
75325,-0.645
75536,-0.63
75743,-0.625
75942,-0.6
76139,-0.59
76342,-0.61
76558,-0.63
76776,-0.67
76989,-0.67
77199,-0.6
77409,-0.69
77622,-0.6
77838,-0.625
78059,-0.625
78275,-0.64
78481,-0.685
78680,-0.63
78878,-0.6
79079,-0.605
79282,-0.65
79490,-0.705
79705,-0.705
79915,-0.635
80118,-0.575
80319,-0.585
80519,-0.63
80722,-0.6
80927,-0.595
81132,-0.625
81349,-0.655
81563,-0.675
81769,-0.69
81973,-0.7
82174,-0.635
82375,-0.62
82572,-0.655
82778,-0.795
82988,-0.875
83197,-0.81
83397,-0.625
83593,-0.6
83795,-0.585
84005,-0.62
84221,-0.665
84434,-0.68
84650,-0.68
84861,-0.67
85067,-0.62
85266,-0.625
85470,-0.655
85677,-0.685
85877,-0.64
86075,-0.605
86277,-0.64
86488,-0.68
86706,-0.675
86925,-0.685
87149,-0.685
87371,-0.665
87583,-0.675
87790,-0.695
