Elapsed time(s),ECG(mV),peak,foot GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.603,0,1.802,74.993,0,11.574
0.065,-0.409,0,1.802,74.993,0,11.472
0.129,-0.405,0,1.802,77.992,0,11.388
0.194,-0.403,0,1.803,77.992,0,11.292
0.258,-0.386,0,1.798,77.992,0,11.234
0.323,-0.257,0,1.734,77.992,0,11.622
0.387,-0.117,0,1.735,77.992,0,11.628
0.452,-0.371,0,1.735,77.992,0,11.636
0.516,-0.292,0,1.734,77.992,0,11.65
0.581,-0.066,0,1.734,77.992,0,11.66
0.645,0.054,1,1.733,77.992,0,11.69
0.71,-0.392,0,1.733,77.992,0,11.744
0.774,-0.459,0,1.733,77.992,0,11.834
0.839,-0.482,0,1.73,77.992,0,11.902
0.903,-0.507,0,1.73,77.992,0,11.98
0.968,-0.517,0,1.73,77.992,0,12.074
1.032,-0.523,0,1.73,77.992,0,12.172
1.097,-0.524,0,1.73,77.992,0,12.27
1.161,-0.512,0,1.73,77.992,0,12.358
1.226,-0.518,0,1.73,77.992,0,12.448
1.29,-0.045,0,1.73,77.992,0,12.536
1.355,-0.504,0,1.729,77.992,0,12.618
1.419,-0.37,0,1.728,77.992,0,12.684
1.484,0.018,0,1.728,64.994,0,12.738
1.548,0.044,1,1.728,64.994,0,12.778
1.613,-0.317,0,1.726,64.994,0,12.808
1.677,-0.42,0,1.725,64.994,0,12.82
1.742,-0.425,0,1.725,64.994,0,12.78
1.806,-0.43,0,1.725,64.994,0,12.632
1.871,-0.42,0,1.725,64.994,0,12.626
1.935,-0.406,0,1.725,64.994,0,12.522
2,-0.396,0,1.725,64.994,0,12.426
2.065,-0.366,0,1.725,64.994,0,12.338
2.129,-0.174,0,1.725,64.994,0,12.258
2.194,-0.118,0,1.725,64.994,0,12.202
2.258,-0.308,0,1.724,64.994,0,12.15
2.323,-0.197,0,1.723,64.994,0,12.116
2.387,0.08,0,1.723,66.993,0,12.1
2.452,0.179,1,1.723,66.993,0,12.09
2.516,-0.262,0,1.72,66.993,0,12.076
2.581,-0.295,0,1.72,66.993,0,12.086
2.645,-0.296,0,1.72,66.993,0,12.086
2.71,-0.299,0,1.72,66.993,0,12.084
2.774,-0.296,0,1.72,66.993,0,12.092
2.839,-0.288,0,1.72,66.993,0,12.08
2.903,-0.281,0,1.72,66.993,0,12.074
2.968,-0.278,0,1.72,66.993,0,12.07
3.032,-0.257,0,1.72,66.993,0,12.044
3.097,0.079,0,1.718,66.993,0,12.022
3.161,-0.144,0,1.718,66.993,0,12.018
3.226,-0.205,0,1.718,66.993,0,12.006
3.29,-0.104,0,1.715,61.994,0,12
3.355,0.166,0,1.715,61.994,0,11.996
3.419,0.237,1,1.715,61.994,0,11.964
3.484,-0.199,0,1.715,61.994,0,11.92
3.548,-0.234,0,1.715,61.994,0,11.888
3.613,-0.239,0,1.715,61.994,0,11.854
3.677,-0.253,0,1.715,61.994,0,11.774
3.742,-0.252,0,1.715,61.994,0,11.662
3.806,-0.251,0,1.713,61.994,0,11.594
3.871,-0.258,0,1.713,61.994,0,11.554
3.935,-0.273,0,1.713,61.994,0,11.524
4,-0.271,0,1.711,61.994,0,11.506
4.065,0.007,0,1.71,61.994,0,11.51
4.129,-0.193,0,1.71,61.994,0,11.53
4.194,-0.282,0,1.71,61.994,0,11.588
4.258,-0.197,0,1.71,61.994,0,11.674
4.323,0.067,0,1.71,61.994,0,11.772
4.387,0.16,1,1.71,61.994,0,11.888
4.452,-0.303,0,1.71,61.994,0,12.038
4.516,-0.356,0,1.708,61.994,0,12.2
4.581,-0.377,0,1.709,61.994,0,12.338
4.645,-0.391,0,1.708,61.994,0,12.444
4.71,-0.4,0,1.708,61.994,0,12.546
4.774,-0.4,0,1.706,61.994,0,12.64
4.839,-0.369,0,1.705,61.994,0,12.714
4.903,0.18,0,1.705,61.994,0,12.778
4.968,-0.498,0,1.705,61.994,0,12.864
5.032,-0.282,0,1.705,61.994,0,12.902
5.097,-0.143,0,1.705,71.993,0,12.9
5.161,0.186,1,1.705,71.993,0,12.892
5.226,0.124,0,1.705,71.993,0,12.914
5.29,-0.247,0,1.705,71.993,0,12.97
5.355,-0.255,0,1.705,71.993,0,12.956
5.419,-0.265,0,1.705,71.993,0,12.862
5.484,-0.267,0,1.704,71.993,0,12.73
5.548,-0.248,0,1.703,71.993,0,12.628
5.613,-0.215,0,1.703,71.993,0,12.516
5.677,-0.228,0,1.7,71.993,0,12.414
5.742,0.314,0,1.7,71.993,0,12.348
5.806,-0.222,0,1.7,71.993,0,12.25
5.871,-0.07,1,1.7,71.993,0,12.16
5.935,0.141,0,1.7,73.993,0,12.08
6,0.418,0,1.7,73.993,0,12.012
6.065,-0.015,0,1.699,73.993,0,11.936
6.129,-0.139,0,1.698,73.993,0,11.872
6.194,-0.143,0,1.698,73.993,0,11.774
6.258,-0.17,0,1.698,73.993,0,11.65
6.323,-0.193,0,1.696,73.993,0,11.56
6.387,-0.222,0,1.695,73.993,0,11.49
6.452,-0.229,0,1.695,73.993,0,11.438
6.516,-0.267,0,1.695,73.993,0,11.434
6.581,0.183,0,1.695,73.993,0,11.52
6.645,-0.294,0,1.695,73.993,0,11.656
6.71,-0.196,0,1.695,73.993,0,11.81
6.774,0.025,0,1.695,71.993,0,11.966
6.839,0.263,1,1.693,71.993,0,12.124
6.903,-0.227,0,1.693,71.993,0,12.292
6.968,-0.327,0,1.693,71.993,0,12.466
7.032,-0.339,0,1.693,71.993,0,12.606
7.097,-0.366,0,1.693,71.993,0,12.732
7.161,-0.372,0,1.69,71.993,0,12.836
7.226,-0.342,0,1.69,71.993,0,12.896
7.29,0.228,0,1.69,71.993,0,12.952
7.355,-0.488,0,1.69,71.993,0,13.002
7.419,-0.253,0,1.69,71.993,0,13.04
7.484,-0.11,0,1.69,71.993,0,13.072
7.548,0.22,1,1.69,71.993,0,13.09
7.613,0.099,0,1.69,71.993,0,13.042
7.677,-0.222,0,1.689,71.993,0,12.968
7.742,-0.226,0,1.688,79.992,0,12.86
7.806,-0.238,0,1.688,79.992,0,12.748
7.871,-0.232,0,1.688,79.992,0,12.642
7.935,-0.214,0,1.686,79.992,0,12.544
8,-0.188,0,1.685,79.992,0,12.454
8.065,0.471,0,1.685,79.992,0,12.376
8.129,-0.372,0,1.685,79.992,0,12.298
8.194,-0.089,0,1.685,79.992,0,12.232
8.258,0.064,0,1.685,79.992,0,12.186
8.323,0.394,1,1.685,79.992,0,12.134
8.387,0.169,0,1.685,79.992,0,12.068
8.452,-0.123,0,1.685,79.992,0,12.026
8.516,-0.117,0,1.683,79.992,0,11.962
8.581,-0.13,0,1.683,79.992,0,11.866
8.645,-0.135,0,1.683,79.992,0,11.79
8.71,-0.131,0,1.683,79.992,0,11.73
8.774,-0.121,0,1.682,79.992,0,11.69
8.839,-0.102,0,1.681,79.992,0,11.66
8.903,0.527,0,1.681,79.992,0,11.644
8.968,-0.319,0,1.681,77.992,0,11.636
9.032,-0.05,0,1.681,77.992,0,11.628
9.097,0.083,0,1.681,77.992,0,11.62
9.161,0.406,1,1.681,77.992,0,11.622
9.226,0.212,0,1.681,77.992,0,11.62
9.29,-0.119,0,1.681,77.992,0,11.618
9.355,-0.137,0,1.681,77.992,0,11.612
9.419,-0.166,0,1.678,77.992,0,11.574
9.484,-0.195,0,1.678,77.992,0,11.548
9.548,-0.212,0,1.678,77.992,0,11.56
9.613,-0.226,0,1.678,77.992,0,11.618
9.677,-0.237,0,1.677,77.992,0,11.69
9.742,-0.239,0,1.676,77.992,0,11.78
9.806,-0.25,0,1.676,77.992,0,11.882
9.871,0.185,0,1.676,77.992,0,11.99
9.935,-0.255,0,1.676,77.992,0,12.11
10,-0.145,0,1.676,77.992,0,12.232
10.065,0.079,0,1.676,77.992,0,12.344
10.129,0.319,1,1.676,77.992,0,12.456
10.194,-0.134,0,1.676,77.992,0,12.558
10.258,-0.239,0,1.676,77.992,0,12.64
10.323,-0.257,0,1.676,77.992,0,12.68
10.387,-0.275,0,1.676,77.992,0,12.728
10.452,-0.272,0,1.676,77.992,0,12.774
10.516,-0.257,0,1.674,77.992,0,12.806
10.581,-0.216,0,1.673,77.992,0,12.822
10.645,0.042,0,1.673,77.992,0,12.816
10.71,-0.026,0,1.673,77.992,0,12.786
10.774,-0.121,0,1.673,77.992,0,12.716
10.839,0.002,0,1.672,77.992,0,12.626
10.903,0.293,0,1.671,77.992,0,12.524
10.968,0.34,1,1.671,77.992,0,12.416
11.032,-0.079,0,1.671,77.992,0,12.314
11.097,-0.095,0,1.671,77.992,0,12.224
11.161,-0.099,0,1.671,77.992,0,12.114
11.226,-0.108,0,1.671,77.992,0,12.006
11.29,-0.107,0,1.671,77.992,0,11.912
11.355,-0.103,0,1.671,77.992,0,11.832
11.419,-0.1,0,1.671,77.992,0,11.778
11.484,-0.074,0,1.671,77.992,0,11.736
11.548,0.087,0,1.671,77.992,0,11.708
11.613,0.193,0,1.671,71.993,0,11.684
11.677,-0.039,0,1.671,71.993,0,11.67
11.742,0.061,0,1.668,71.993,0,11.662
11.806,0.329,0,1.668,71.993,0,11.648
11.871,0.447,1,1.668,71.993,0,11.636
11.935,-0.028,0,1.667,71.993,0,11.622
12,-0.084,0,1.666,71.993,0,11.618
12.065,-0.102,0,1.666,71.993,0,11.588
12.129,-0.139,0,1.666,49.995,0,11.546
12.194,-0.162,0,1.666,49.995,0,11.524
12.258,-0.18,0,1.666,49.995,0,11.522
12.323,-0.195,0,1.666,49.995,0,11.552
12.387,-0.199,0,1.666,49.995,0,11.624
12.452,-0.222,0,1.666,49.995,0,11.726
12.516,0.212,0,1.666,49.995,0,11.842
