Elapsed time(s),ECG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.071,19.302,8.375,53,13.19,35.53
0.065,-0.076,19.319,8.371,53,13.2,35.54
0.129,-0.003,19.341,8.369,53,13.2,35.55
0.194,0.115,19.365,8.365,68,13.19,35.57
0.258,0.055,19.389,8.361,68,13.2,35.51
0.323,-0.069,19.416,8.359,68,13.12,34.48
0.387,-0.062,19.442,8.356,68,13.08,34.38
0.452,-0.079,19.469,8.353,68,13.09,34.31
0.516,-0.092,19.497,8.35,68,13.08,34.06
0.581,-0.079,19.524,8.348,68,13.09,33.96
0.645,-0.013,19.551,8.345,68,13.08,33.91
0.71,-0.104,19.579,8.343,68,13.08,33.89
0.774,0.154,19.605,8.34,68,13.09,33.88
0.839,-0.062,19.63,8.338,68,13.08,33.87
0.903,-0.024,19.655,8.334,68,13.08,33.84
0.968,0.06,19.68,8.333,68,13.08,33.81
1.032,0.163,19.703,8.33,68,13.08,33.78
1.097,0.027,19.726,8.328,68,13.08,33.78
1.161,-0.044,19.747,8.325,68,13.08,33.77
1.226,-0.044,19.767,8.323,73,13.08,33.78
1.29,-0.063,19.785,8.32,73,13.08,33.72
1.355,-0.075,19.803,8.319,73,13.08,33.58
1.419,-0.077,19.819,8.316,73,13.08,33.6
1.484,-0.076,19.834,8.313,73,13.08,33.57
1.548,-0.015,19.847,8.311,73,13.08,33.59
1.613,-0.05,19.86,8.309,73,13.08,33.59
1.677,0.015,19.869,8.306,73,13.08,33.6
1.742,0.084,19.879,8.304,73,13.08,33.58
1.806,-0.031,19.889,8.302,73,13.08,33.57
1.871,0.025,19.896,8.299,73,13.08,33.56
1.935,0.136,19.903,8.296,73,13.08,33.56
2,0.152,19.908,8.293,73,13.08,33.56
2.065,-0.013,19.913,8.291,73,13.08,33.57
2.129,-0.02,19.917,8.288,64,13.08,33.57
2.194,-0.029,19.92,8.284,64,13.08,33.6
2.258,-0.049,19.921,8.282,64,13.08,33.49
2.323,-0.055,19.92,8.279,64,13.08,33.47
2.387,-0.056,19.92,8.277,64,13.08,33.48
2.452,-0.056,19.92,8.273,64,13.08,33.48
2.516,-0.031,19.917,8.272,64,13.08,33.49
2.581,0.011,19.915,8.268,64,13.08,33.51
2.645,-0.06,19.911,8.266,64,13.08,33.51
2.71,0.187,19.908,8.262,64,13.08,33.49
2.774,-0.015,19.903,8.259,64,13.08,33.49
2.839,0.028,19.897,8.257,64,13.08,33.49
2.903,0.123,19.891,8.254,64,13.08,33.49
2.968,0.21,19.884,8.251,64,13.08,33.5
3.032,0.046,19.877,8.248,64,13.08,33.49
3.097,-0.004,19.868,8.244,64,13.08,33.49
3.161,-0.005,19.861,8.243,64,13.08,33.52
3.226,-0.022,19.852,8.239,64,13.08,33.45
3.29,-0.035,19.842,8.237,60,13.08,33.37
3.355,-0.037,19.832,8.234,60,13.08,33.39
3.419,-0.039,19.82,8.232,60,13.08,33.38
3.484,0.014,19.81,8.228,60,13.08,33.41
3.548,-0.015,19.799,8.226,60,13.08,33.42
3.613,0.047,19.786,8.223,60,13.08,33.43
3.677,0.091,19.774,8.221,60,13.08,33.42
3.742,-0.021,19.762,8.217,60,13.08,33.41
3.806,0.029,19.749,8.215,60,13.08,33.42
3.871,0.141,19.735,8.212,60,13.08,33.43
3.935,0.157,19.722,8.209,60,13.08,33.48
4,-0.023,19.708,8.206,60,13.08,33.57
4.065,-0.039,19.694,8.204,63,13.08,33.73
4.129,-0.05,19.68,8.2,63,13.08,33.97
4.194,-0.071,19.667,8.197,63,13.08,34.12
4.258,-0.08,19.652,8.194,63,13.08,34.44
4.323,-0.086,19.638,8.191,63,13.08,34.89
4.387,-0.016,19.625,8.189,63,13.08,35.32
4.452,-0.104,19.61,8.185,63,13.08,35.72
4.516,0.148,19.595,8.182,63,13.08,36.07
4.581,-0.085,19.58,8.179,63,13.08,36.38
4.645,-0.063,19.568,8.175,63,13.08,36.72
4.71,0.003,19.553,8.172,63,13.08,37.01
4.774,0.111,19.538,8.169,68,13.08,37.3
4.839,0.032,19.523,8.166,68,13.08,37.53
4.903,-0.07,19.51,8.162,68,13.08,37.63
4.968,-0.064,19.496,8.159,68,13.08,37.57
5.032,-0.077,19.483,8.156,68,13.08,37.41
5.097,-0.086,19.468,8.152,68,13.08,37.19
5.161,-0.087,19.454,8.15,68,13.08,37.02
5.226,-0.017,19.441,8.145,68,13.08,36.83
5.29,-0.071,19.427,8.142,68,13.08,36.7
5.355,0.098,19.414,8.137,68,13.08,36.56
5.419,-0.017,19.401,8.135,68,13.08,36.37
5.484,-0.043,19.389,8.131,68,13.08,36.17
5.548,0.016,19.376,8.129,68,13.08,36.02
5.613,0.131,19.362,8.129,70,13.08,35.87
5.677,0.1,19.351,8.13,70,13.06,35.65
5.742,-0.054,19.339,8.132,70,13.08,35.38
5.806,-0.053,19.328,8.124,70,13.08,34.92
5.871,-0.062,19.315,8.118,70,13.08,34.68
5.935,-0.082,19.303,8.11,70,13.08,34.41
6,-0.089,19.292,8.108,70,13.08,34.14
6.065,-0.1,19.28,8.103,70,13.08,33.85
6.129,-0.029,19.27,8.098,70,13.08,33.72
