Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.059,0.254,7.874,12.164,89,9.02,45.18
0.065,-0.132,0.166,7.853,12.141,89,9.02,45.17
0.129,-0.167,0.264,7.831,12.121,89,9.02,45.19
0.194,0.91,0.332,7.811,12.101,89,9.02,45.2
0.258,-0.091,0.267,7.791,12.082,89,9.02,45.2
0.323,-0.12,0.119,7.772,12.063,85,9.02,45.2
0.387,-0.049,0.013,7.755,12.047,85,9.02,45.19
0.452,0.12,0.357,7.739,12.03,85,9.02,45.26
0.516,0.046,0.36,7.722,12.013,85,9.02,45.35
0.581,-0.105,0.399,7.707,11.996,85,9.02,45.51
0.645,-0.12,0.158,7.692,11.981,85,9.02,45.61
0.71,-0.119,0.158,7.678,11.966,85,9.02,45.64
0.774,-0.115,0.389,7.665,11.951,85,9.02,45.81
0.839,-0.111,0.321,7.651,11.937,85,9.02,45.9
0.903,-0.111,0.256,7.639,11.924,85,9.02,45.86
0.968,-0.089,0.029,7.626,11.911,85,9.02,45.8
1.032,-0.033,0.023,7.614,11.9,80,9.02,45.8
1.097,-0.111,0.223,7.603,11.887,80,9.02,45.83
1.161,-0.151,0.228,7.592,11.877,80,9.02,45.82
1.226,0.9,0.029,7.583,11.866,80,9.02,45.76
1.29,-0.07,0.029,7.574,11.855,80,9.02,45.75
1.355,-0.118,0.163,7.564,11.844,80,9.02,45.75
1.419,-0.056,0.251,7.554,11.833,80,9.02,45.73
1.484,0.108,0.15,7.547,11.823,80,9.02,45.78
1.548,0.067,0.306,7.539,11.815,80,9.02,45.94
1.613,-0.105,0.319,7.529,11.805,80,9.02,46.11
1.677,-0.123,0.37,7.522,11.795,80,9.02,46.3
1.742,-0.119,0.401,7.514,11.785,80,9.02,46.49
1.806,-0.114,0.342,7.509,11.775,80,9.02,46.73
1.871,-0.116,0.264,7.501,11.768,80,9.02,47.03
1.935,-0.117,0.381,7.496,11.758,80,9.02,47.25
2,-0.112,0.381,7.489,11.75,80,9.02,47.4
2.065,-0.042,0.386,7.482,11.742,80,9.02,47.54
2.129,-0.104,0.293,7.476,11.735,80,9.02,47.62
2.194,-0.135,0.197,7.471,11.726,80,9.02,47.65
2.258,0.704,0.018,7.466,11.718,80,9.02,47.62
2.323,0.076,0.031,7.461,11.711,80,9.02,47.5
2.387,-0.134,0.026,7.456,11.703,80,9.02,47.32
2.452,-0.086,0.023,7.451,11.696,80,9.02,47.11
2.516,0.055,0.023,7.448,11.688,80,9.02,46.9
2.581,0.109,0.381,7.444,11.682,81,9.02,46.74
2.645,-0.093,0.37,7.439,11.675,81,9.02,46.62
2.71,-0.131,0.324,7.434,11.668,81,9.02,46.5
2.774,-0.132,0.163,7.431,11.662,81,9.02,46.37
2.839,-0.127,0.018,7.426,11.655,81,9.02,46.25
2.903,-0.126,0.031,7.423,11.648,81,9.02,46.12
2.968,-0.128,0.023,7.419,11.641,81,9.02,46.01
3.032,-0.114,0.021,7.415,11.635,81,9.02,45.95
3.097,-0.044,0.018,7.413,11.628,81,9.02,45.93
3.161,-0.113,0.303,7.409,11.623,81,9.02,45.91
3.226,-0.141,0.36,7.407,11.618,81,9.02,45.87
3.29,0.84,0.29,7.403,11.615,81,9.02,45.86
3.355,-0.013,0.179,7.399,11.61,75,9.02,45.87
3.419,-0.115,0.381,7.397,11.608,75,9.02,45.87
3.484,-0.059,0.373,7.394,11.605,75,9.02,45.88
3.548,0.095,0.36,7.391,11.603,75,9.02,45.88
3.613,0.113,0.329,7.388,11.6,75,9.02,45.86
3.677,-0.08,0.311,7.386,11.598,75,9.02,45.8
3.742,-0.106,0.166,7.384,11.593,75,9.02,45.73
3.806,-0.106,0.344,7.382,11.589,75,9.02,45.72
3.871,-0.102,0.347,7.381,11.587,75,9.02,45.76
3.935,-0.099,0.324,7.378,11.587,75,9.02,45.78
4,-0.1,0.401,7.376,11.588,75,9.02,45.79
4.065,-0.097,0.192,7.376,11.593,75,9.02,45.81
4.129,-0.08,0.119,7.374,11.605,74,9.02,45.82
4.194,-0.011,0.277,7.373,11.612,74,9.02,45.85
4.258,-0.08,0.135,7.373,11.636,74,9.02,45.87
4.323,-0.112,0.15,7.373,11.666,74,9.02,45.88
4.387,0.878,0.282,7.373,11.7,74,9.02,45.88
4.452,0.012,0.303,7.377,11.738,74,9.02,45.84
4.516,-0.092,0.373,7.382,11.778,74,9,45.76
4.581,-0.035,0.355,7.39,11.818,74,8.99,45.79
4.645,0.119,0.36,7.402,11.855,74,9.1,45.89
4.71,0.143,0.35,7.417,11.867,74,8.96,45.82
4.774,-0.055,0.233,7.435,11.857,74,8.88,45.69
4.839,-0.083,0.119,7.459,11.842,74,9.14,45.63
4.903,-0.084,0.142,7.485,11.837,74,9.46,45.6
4.968,-0.082,0.13,7.515,11.83,75,9.39,45.73
5.032,-0.081,0.344,7.546,11.82,75,9.41,45.98
5.097,-0.083,0.368,7.579,11.813,75,9.47,46.18
5.161,-0.083,0.344,7.611,11.811,75,9.51,46.41
5.226,-0.079,0.308,7.645,11.802,75,9.54,46.58
5.29,-0.02,0.321,7.68,11.784,75,9.54,46.76
5.355,-0.043,0.368,7.712,11.753,75,9.52,47
5.419,-0.098,0.282,7.743,11.716,75,9.52,47.15
5.484,0.364,0.277,7.771,11.679,75,9.52,47.34
5.548,0.496,0.365,7.797,11.64,75,9.52,47.57
5.613,-0.1,0.339,7.819,11.602,75,9.52,47.59
5.677,-0.065,0.324,7.839,11.561,81,9.52,47.42
5.742,0.052,0.378,7.856,11.513,81,9.52,47.28
5.806,0.187,0.365,7.869,11.476,81,9.52,46.99
5.871,-0.016,0.339,7.88,11.422,81,9.52,46.61
5.935,-0.089,0.287,7.886,11.384,81,9.52,46.32
6,-0.095,0.383,7.891,11.353,81,9.52,46.19
6.065,-0.099,0.339,7.895,11.311,81,9.5,45.96
6.129,-0.094,0.368,7.895,11.271,81,9.5,45.69
6.194,-0.097,0.313,7.895,11.237,81,9.5,45.82
6.258,-0.098,0.365,7.891,11.211,81,9.5,45.86
6.323,-0.098,0.28,7.886,11.173,81,9.51,45.62
6.387,-0.062,0.189,7.88,11.127,82,9.52,45.33
6.452,-0.032,0.086,7.872,11.073,82,9.51,45.15
6.516,-0.117,0.171,7.863,11.015,82,9.5,45.05
6.581,-0.042,0.3,7.852,10.99,82,9.5,45.21
6.645,0.841,0.35,7.839,10.964,82,9.5,45.25
6.71,-0.115,0.14,7.827,10.925,82,9.5,45.16
6.774,-0.106,0.075,7.811,10.908,82,9.49,45.19
6.839,-0.016,0.072,7.797,10.882,82,9.49,45.39
6.903,0.162,0.091,7.779,10.85,82,9.47,45.55
6.968,0.009,0.14,7.765,10.801,82,9.47,45.52
7.032,-0.105,0.075,7.75,10.763,82,9.47,45.47
7.097,-0.111,0.14,7.732,10.734,83,9.47,45.38
7.161,-0.111,0.205,7.717,10.719,83,9.47,45.34
7.226,-0.102,0.355,7.702,10.699,83,9.47,45.35
7.29,-0.108,0.332,7.687,10.698,83,9.46,45.35
7.355,-0.103,0.389,7.673,10.703,83,9.45,45.24
7.419,-0.052,0.254,7.658,10.704,83,9.45,45.14
7.484,-0.047,0.311,7.644,10.697,83,9.45,45.21
7.548,-0.112,0.357,7.63,10.673,83,9.45,45.48
7.613,0.167,0.282,7.618,10.656,83,9.45,45.63
7.677,0.65,0.386,7.606,10.65,83,9.45,45.52
7.742,-0.102,0.36,7.594,10.647,83,9.45,45.4
7.806,-0.065,0.3,7.583,10.655,84,9.44,45.37
7.871,0.042,0.207,7.574,10.659,84,9.44,45.35
7.935,0.192,0.316,7.562,10.665,84,9.43,45.36
8,0.008,0.246,7.552,10.663,84,9.43,45.48
8.065,-0.071,0.083,7.544,10.662,84,9.43,45.7
8.129,-0.075,0.062,7.536,10.66,84,9.43,45.9
8.194,-0.074,0.072,7.527,10.66,84,9.43,45.91
8.258,-0.07,0.287,7.519,10.656,84,9.43,45.92
8.323,-0.069,0.246,7.511,10.651,84,9.43,45.93
8.387,-0.058,0.334,7.505,10.643,84,9.43,45.99
8.452,0.02,0.306,7.499,10.636,84,9.43,46.14
8.516,-0.035,0.344,7.491,10.616,85,9.43,46.25
8.581,-0.071,0.262,7.485,10.6,85,9.43,46.36
8.645,0.844,0.591,7.479,10.594,85,9.43,46.49
8.71,0.132,0.471,7.474,10.58,85,9.43,46.54
8.774,-0.06,0.186,7.469,10.543,85,9.41,46.63
8.839,-0.009,0.259,7.464,10.49,85,9.41,46.72
8.903,0.14,0.357,7.459,10.445,85,9.43,46.78
8.968,0.204,0.339,7.454,10.352,85,9.41,46.7
9.032,-0.002,0.249,7.449,10.264,85,9.4,46.47
9.097,-0.041,0.308,7.444,10.226,85,9.4,46.39
9.161,-0.045,0.368,7.441,10.243,85,9.4,46.59
9.226,-0.043,0.329,7.436,10.226,88,9.4,46.27
9.29,-0.041,0.334,7.434,10.169,88,9.4,45.87
9.355,-0.036,0.344,7.429,10.091,88,9.4,46.04
9.419,-0.007,0.277,7.424,10.075,88,9.4,46.13
9.484,0.031,0.319,7.423,10.038,88,9.38,46.11
9.548,-0.061,0.319,7.418,9.979,88,9.38,45.96
9.613,-0.032,0.316,7.414,9.942,88,9.38,46.32
9.677,0.961,0.241,7.412,10.029,88,9.41,46.71
9.742,-0.045,0.054,7.409,10.129,88,9.41,47.38
9.806,-0.045,0.231,7.402,10.149,88,9.41,48.63
9.871,0.036,0.132,7.403,10.147,87,9.41,48.64
9.935,0.216,0.098,7.399,10.115,87,9.41,48.57
10,0.073,0.098,7.397,10.06,87,9.46,48.08
10.065,-0.056,0.093,7.394,9.997,87,9.52,47.17
10.129,-0.075,0.329,7.392,9.949,87,9.13,46.47
10.194,-0.072,0.313,7.389,9.929,87,8.99,46.05
10.258,-0.08,0.127,7.387,9.917,87,8.9,45.88
10.323,-0.071,0.127,7.383,9.92,87,8.9,45.85
10.387,-0.061,0.132,7.381,9.926,87,8.9,45.87
10.452,-0.014,0.344,7.378,9.932,87,8.88,45.9
10.516,-0.087,0.355,7.376,9.936,87,8.88,45.92
10.581,-0.121,0.311,7.374,9.934,86,8.89,45.79
10.645,0.954,0.287,7.372,9.932,86,8.86,45.83
10.71,-0.052,0.303,7.369,9.956,86,8.86,46.02
10.774,-0.089,0.326,7.368,9.991,86,8.88,46.04
10.839,-0.026,0.368,7.366,10.024,86,8.86,45.94
10.903,0.142,0.376,7.363,10.046,86,8.86,45.9
10.968,0.087,0.264,7.361,10.063,86,8.86,45.89
11.032,-0.081,0.021,7.361,10.09,86,8.86,45.79
11.097,-0.098,0.127,7.357,10.118,86,8.86,45.5
11.161,-0.092,0.036,7.356,10.134,86,8.86,45.49
11.226,-0.094,0.275,7.353,10.141,86,8.85,45.77
11.29,-0.088,0.313,7.351,10.147,84,8.85,45.88
11.355,-0.089,0.342,7.351,10.156,84,8.85,46.03
11.419,-0.021,0.039,7.348,10.172,84,8.85,46.3
11.484,-0.085,0.07,7.346,10.18,84,8.85,46.69
11.548,-0.123,0.096,7.346,10.239,84,8.85,47.15
11.613,0.826,0.114,7.344,10.316,84,8.85,47.48
11.677,-0.003,0.243,7.343,10.391,84,8.85,47.66
11.742,-0.112,0.363,7.343,10.45,84,8.85,47.81
11.806,-0.064,0.363,7.343,10.486,84,8.85,48.06
11.871,0.089,0.357,7.343,10.483,84,8.85,48.14
11.935,0.116,0.409,7.346,10.429,96,8.85,47.99
12,-0.074,0.448,7.346,10.367,96,8.85,47.58
12.065,-0.113,0.249,7.351,10.249,96,8.85,47.24
12.129,-0.111,0.047,7.351,10.243,96,8.85,47.23
12.194,-0.112,0.088,7.352,10.238,96,8.85,47.2
12.258,-0.104,0.127,7.354,10.263,96,8.85,47.2
12.323,-0.094,0.386,7.356,10.258,96,8.85,47.04
12.387,-0.048,0.352,7.359,10.253,96,8.85,46.95
12.452,-0.114,0.365,7.361,10.227,96,8.85,46.96
12.516,-0.059,0.246,7.363,10.2,96,8.85,46.72
12.581,0.898,0.047,7.363,10.174,96,8.85,46.56
12.645,-0.096,0.07,7.366,10.139,96,8.85,46.38
12.71,-0.106,0.054,7.367,10.084,78,8.85,46.24
12.774,-0.003,0.039,7.368,10.054,78,8.85,46.39
12.839,0.166,0.047,7.368,10.073,78,8.85,46.37
12.903,0.012,0.047,7.369,10.101,78,8.85,46.26
12.968,-0.083,0.034,7.371,10.121,78,8.85,46.3
13.032,-0.103,0.031,7.371,10.139,78,8.85,46.36
13.097,-0.094,0.023,7.371,10.157,78,8.85,46.27
13.161,-0.081,0.031,7.369,10.175,78,8.85,46.15
13.226,-0.02,0.357,7.368,10.191,78,8.85,46.16
13.29,-0.03,0.161,7.368,10.206,78,8.85,46.17
13.355,-0.06,0.311,7.371,10.219,78,8.85,46.15
13.419,-0.112,0.306,7.373,10.241,84,8.85,46.14
13.484,0.359,0.36,7.373,10.275,84,8.85,46.16
13.548,0.492,0.026,7.369,10.325,84,8.85,46.2
13.613,-0.107,0.015,7.367,10.387,84,8.85,46.21
13.677,-0.061,0.298,7.362,10.464,84,8.85,46.18
13.742,0.04,0.357,7.359,10.554,84,8.85,46.1
13.806,0.173,0.36,7.364,10.653,84,8.85,46.04
13.871,-0.036,0.342,7.366,10.764,84,8.85,46.05
13.935,-0.096,0.355,7.372,10.886,84,8.85,46.08
14,-0.1,0.228,7.382,11.009,84,8.85,46.1
14.065,-0.092,0.293,7.397,11.132,84,8.85,46.11
14.129,-0.115,0.272,7.417,11.251,83,8.85,46.11
14.194,-0.1,0.36,7.442,11.359,83,8.85,46.11
14.258,-0.041,0.316,7.475,11.462,83,8.85,46.12
14.323,-0.077,0.026,7.512,11.562,83,8.85,46.14
14.387,-0.118,0.277,7.556,11.655,83,8.85,46.11
14.452,0.448,0.383,7.604,11.743,83,8.85,46.03
14.516,0.368,0.394,7.655,11.809,83,8.85,46.02
14.581,-0.123,0.194,7.71,11.861,83,8.85,46.13
14.645,-0.082,0.047,7.766,11.9,83,8.85,46.28
