Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),HR(bpm),marker(mV),RESP(mV)
0,-0.024,0.987,9.172,82,9.23,45.73
0.065,-0.081,1,9.158,82,9.34,45.59
0.129,0.225,1.052,9.168,82,9.34,45.42
0.194,-0.103,1.002,9.191,82,9.34,45.25
0.258,0.002,0.982,9.176,82,9.34,45.05
0.323,0.196,0.938,12.789,75,9.32,46.49
0.387,0.281,0.924,13.022,75,9.3,46.58
0.452,-0.064,0.912,13.119,75,9.32,46.61
0.516,-0.088,0.888,13.174,75,9.3,46.62
0.581,-0.074,0.932,13.203,75,9.29,46.6
0.645,-0.076,0.963,13.238,75,9.29,46.59
0.71,-0.085,0.997,13.271,75,9.29,46.55
0.774,-0.021,1.015,13.297,75,9.28,46.55
0.839,-0.09,0.976,13.317,75,9.29,46.55
0.903,0.211,1.02,13.332,75,9.34,46.56
0.968,-0.114,1.023,13.343,75,9.38,46.59
1.032,-0.009,0.938,13.35,75,9.34,46.61
1.097,0.18,0.948,13.352,77,9.34,46.6
1.161,0.273,0.979,13.352,77,9.33,46.6
1.226,-0.075,0.938,13.35,77,9.34,46.64
1.29,-0.101,0.976,13.345,77,9.34,46.69
1.355,-0.088,0.917,13.336,77,9.33,46.76
1.419,-0.095,0.891,13.326,77,9.33,46.85
1.484,-0.068,0.945,13.313,77,9.34,46.99
1.548,-0.084,0.922,13.296,77,9.34,47.22
1.613,-0.08,0.901,13.278,77,9.34,47.46
1.677,0.094,0.958,13.257,77,9.34,47.67
1.742,-0.056,0.922,13.236,77,9.34,47.87
1.806,0.073,0.987,13.211,77,9.34,48.09
1.871,0.309,0.951,13.185,81,9.34,48.3
1.935,-0.031,1.031,13.158,81,9.34,48.58
2,-0.12,1.067,13.128,81,9.34,48.85
2.065,-0.107,1.007,13.097,81,9.35,49.07
2.129,-0.105,0.971,13.066,81,9.35,49.21
2.194,-0.052,0.969,13.032,81,9.36,49.34
2.258,-0.155,0.976,13,81,9.36,49.54
2.323,0.131,0.963,12.964,81,9.36,49.8
2.387,-0.127,0.924,12.93,81,9.36,50.03
2.452,-0.03,0.868,12.893,81,9.36,50.23
2.516,0.198,0.901,12.858,88,9.36,50.39
2.581,0.158,0.914,12.823,88,9.35,50.55
2.645,-0.131,1.013,12.789,88,9.35,50.82
2.71,-0.141,0.997,12.754,88,9.34,51.08
2.774,-0.124,0.995,12.719,88,9.34,51.26
2.839,-0.065,0.989,12.685,88,9.34,51.35
2.903,-0.167,1.049,12.652,88,9.34,51.47
2.968,0.141,1.062,12.621,88,9.34,51.84
3.032,-0.164,1.054,12.59,88,9.34,52.09
3.097,-0.047,0.961,12.558,88,9.34,52.27
3.161,0.174,0.961,12.529,91,9.34,52.4
3.226,0.164,1.015,12.499,91,9.34,52.52
3.29,-0.143,0.987,12.471,91,9.34,52.7
3.355,-0.158,0.94,12.444,91,9.34,52.89
3.419,-0.127,0.886,12.417,91,9.34,53.07
3.484,-0.087,0.842,12.391,91,9.34,53.21
3.548,-0.192,0.917,12.366,91,9.34,53.4
3.613,0.115,0.924,12.343,91,9.34,53.59
3.677,-0.11,1.002,12.32,91,9.34,53.75
3.742,-0.011,0.932,12.3,91,9.34,53.87
3.806,0.263,0.966,12.281,95,9.34,54.02
3.871,0.044,0.948,12.267,95,9.34,54.15
3.935,-0.152,1.067,12.255,95,9.33,54.26
4,-0.147,1.121,12.249,95,9.33,54.4
4.065,-0.099,0.971,12.249,95,9.34,54.51
4.129,-0.106,0.961,12.255,95,9.34,54.64
4.194,-0.176,1.007,12.27,95,9.34,54.75
4.258,0.148,0.971,12.295,95,9.34,54.85
4.323,-0.088,0.94,12.333,95,9.34,54.94
4.387,0.045,0.88,12.378,95,9.33,54.99
4.452,0.311,0.857,12.437,95,9.32,55
