Elapsed time(s),ECG(mV),EMG(mV),foot GSR(mV),hand GSR(mV),marker(mV),RESP(mV)
0,-0.024,0.987,9.172,16,9.23,45.73
0.065,-0.081,1,9.158,15.963,9.34,45.59
0.129,0.225,1.052,9.168,15.968,9.34,45.42
0.194,-0.103,1.002,9.191,15.99,9.34,45.25
0.258,0.002,0.982,9.176,15.937,9.34,45.05
0.323,0.196,0.938,12.789,21.937,9.32,46.49
0.387,0.281,0.924,13.022,22.236,9.3,46.58
0.452,-0.064,0.912,13.119,22.273,9.32,46.61
0.516,-0.088,0.888,13.174,22.233,9.3,46.62
0.581,-0.074,0.932,13.203,22.154,9.29,46.6
0.645,-0.076,0.963,13.238,22.097,9.29,46.59
0.71,-0.085,0.997,13.271,22.034,9.29,46.55
0.774,-0.021,1.015,13.297,21.968,9.28,46.55
0.839,-0.09,0.976,13.317,21.902,9.29,46.55
0.903,0.211,1.02,13.332,21.831,9.34,46.56
0.968,-0.114,1.023,13.343,21.761,9.38,46.59
1.032,-0.009,0.938,13.35,21.694,9.34,46.61
1.097,0.18,0.948,13.352,21.627,9.34,46.6
1.161,0.273,0.979,13.352,21.56,9.33,46.6
1.226,-0.075,0.938,13.35,21.494,9.34,46.64
1.29,-0.101,0.976,13.345,21.432,9.34,46.69
1.355,-0.088,0.917,13.336,21.369,9.33,46.76
1.419,-0.095,0.891,13.326,21.309,9.33,46.85
1.484,-0.068,0.945,13.313,21.252,9.34,46.99
1.548,-0.084,0.922,13.296,21.196,9.34,47.22
1.613,-0.08,0.901,13.278,21.144,9.34,47.46
1.677,0.094,0.958,13.257,21.093,9.34,47.67
1.742,-0.056,0.922,13.236,21.043,9.34,47.87
1.806,0.073,0.987,13.211,20.996,9.34,48.09
1.871,0.309,0.951,13.185,20.952,9.34,48.3
1.935,-0.031,1.031,13.158,20.908,9.34,48.58
2,-0.12,1.067,13.128,20.867,9.34,48.85
2.065,-0.107,1.007,13.097,20.827,9.35,49.07
2.129,-0.105,0.971,13.066,20.79,9.35,49.21
2.194,-0.052,0.969,13.032,20.753,9.36,49.34
2.258,-0.155,0.976,13,20.72,9.36,49.54
2.323,0.131,0.963,12.964,20.687,9.36,49.8
2.387,-0.127,0.924,12.93,20.655,9.36,50.03
2.452,-0.03,0.868,12.893,20.625,9.36,50.23
2.516,0.198,0.901,12.858,20.595,9.36,50.39
2.581,0.158,0.914,12.823,20.568,9.35,50.55
2.645,-0.131,1.013,12.789,20.541,9.35,50.82
2.71,-0.141,0.997,12.754,20.515,9.34,51.08
2.774,-0.124,0.995,12.719,20.49,9.34,51.26
2.839,-0.065,0.989,12.685,20.468,9.34,51.35
2.903,-0.167,1.049,12.652,20.444,9.34,51.47
2.968,0.141,1.062,12.621,20.424,9.34,51.84
