peak_index,peak_raw_ecg_value
9,0.21600000000000003
21,0.152
29,0.08800000000000001
40,0.087
55,0.235
66,0.233
77,0.201
84,0.114
94,0.146
105,0.145
115,0.065
124,0.10800000000000001
135,0.171
145,0.201
156,0.179
171,0.225
180,0.17
192,0.168
204,0.135
215,0.162
227,0.17
238,0.155
248,0.054000000000000006
259,0.142
269,0.128
280,0.168
291,0.12300000000000001
305,0.20600000000000002
315,0.18899999999999997
326,0.22
333,0.11
343,0.055
354,0.145
365,0.15
380,0.177
387,0.10400000000000001
398,0.142
413,0.23199999999999998
420,0.154
434,0.198
443,0.205
449,0.256
460,0.20600000000000002
471,0.096
484,0.215
495,0.20199999999999999
505,0.19
513,0.132
527,0.192
534,0.171
549,0.245
557,0.165
572,0.187
583,0.233
594,0.221
601,0.13
611,0.031
625,0.209
632,0.129
642,0.14
653,0.054000000000000006
663,0.075
677,0.223
684,0.16899999999999998
695,0.111
706,0.057999999999999996
716,0.062
727,0.159
738,0.11599999999999999
748,-0.009000000000000001
758,0.09699999999999999
769,0.152
779,0.184
790,0.132
800,0.083
810,0.127
820,0.159
830,0.064
839,0.09699999999999999
849,0.094
859,0.191
869,0.154
881,0.192
897,0.18600000000000003
905,0.11599999999999999
916,0.11599999999999999
928,0.165
940,0.099
951,0.054000000000000006
964,0.196
975,0.174
985,0.2
995,0.196
1002,0.086
1012,0.08800000000000001
1026,0.21899999999999997
1033,0.156
1044,0.145
1056,0.09
1070,0.242
1081,0.287
1092,0.263
1100,0.136
1111,0.073
1122,0.141
1137,0.218
1149,0.207
1161,0.175
1169,0.13699999999999998
1184,0.252
1192,0.138
1203,0.141
1214,0.087
1224,0.179
1235,0.168
1245,0.222
1260,0.243
1271,0.16399999999999998
1279,0.064
1290,0.102
1301,0.20600000000000002
1316,0.29
1324,0.115
1337,0.084
1348,0.081
1362,0.259
1373,0.29
1383,0.245
1390,0.192
1403,0.149
1408,0.12
1412,0.11599999999999999
1419,0.141
1422,0.184
1430,0.201
1446,0.213
1460,0.174
1473,0.187
1487,0.26
1501,0.22899999999999998
1514,0.16
1526,0.166
1537,0.158
1548,0.209
1559,0.15
1570,0.13699999999999998
1581,0.10800000000000001
1592,0.1
1604,0.124
1616,0.14800000000000002
1631,0.23800000000000002
1639,0.087
1649,0.10300000000000001
1663,0.231
1670,0.159
1680,0.139
1695,0.17600000000000002
1702,0.102
1713,0.165
1728,0.272
1740,0.222
1749,0.057999999999999996
1760,0.102
1772,0.183
1783,0.16
1795,0.171
1806,0.124
1817,0.079
1828,0.182
1839,0.13699999999999998
1850,0.084
1860,0.039
1871,0.162
1881,0.13699999999999998
1892,0.128
1902,0.168
1912,0.182
1922,0.11599999999999999
1932,0.071
1945,0.19
1954,0.16899999999999998
1960,0.028999999999999998
1969,0.048
1982,0.159
1988,0.168
1998,0.142
2008,0.099
2018,0.015
2028,0.086
2038,0.161
2049,0.133
2060,0.063
2071,-0.043
2083,0.155
2095,0.19899999999999998
2107,0.079
2118,0.052000000000000005
2129,0.166
2139,0.21899999999999997
2152,0.16
2162,0.174
2172,0.233
2179,0.213
2189,0.23199999999999998
2201,0.157
2213,0.161
2225,0.175
2237,0.201
2248,0.14400000000000002
2258,0.095
2269,0.141
2279,0.204
2290,0.17800000000000002
2302,0.1
2313,0.053
2324,0.16399999999999998
2334,0.192
2347,0.122
2358,0.054000000000000006
2372,0.19899999999999998
2383,0.248
2391,0.165
2406,0.212
2417,0.19
2424,0.095
2434,0.092
2445,0.171
2455,0.214
2466,0.182
2481,0.212
2489,0.111
2503,0.203
2514,0.273
2521,0.134
2536,0.272
2548,0.23600000000000002
2560,0.18
2570,0.22399999999999998
2578,0.21100000000000002
2589,0.177
2601,0.142
2613,0.081
2627,0.18
2637,0.217
2648,0.177
2658,0.222
2665,0.084
2675,0.036000000000000004
2685,0.138
2699,0.245
2706,0.184
2722,0.256
2734,0.175
2742,0.11199999999999999
2753,0.11199999999999999
2768,0.237
2779,0.251
2786,0.14800000000000002
2796,0.191
2810,0.28800000000000003
2817,0.17600000000000002
2827,0.135
2841,0.166
2847,0.138
2861,0.21600000000000003
2871,0.242
2882,0.222
2889,0.114
2899,0.124
2909,0.166
2918,0.192
2933,0.21
2944,0.15
2951,0.09699999999999999
2966,0.245
2974,0.182
2978,0.198
2986,0.155
2997,0.11699999999999999
3012,0.221
3019,0.139
3034,0.17300000000000001
3044,0.153
3054,0.198
3060,0.188
3070,0.19899999999999998
3083,0.20199999999999999
3089,0.069
3103,0.151
3111,0.087
3122,0.188
3138,0.222
3147,0.138
3158,0.177
3173,0.253
3181,0.135
3191,0.094
3202,0.121
3212,0.19699999999999998
3223,0.18
3234,0.107
3245,0.057
3259,0.21899999999999997
3269,0.207
3277,0.13
3287,0.083
3297,0.11599999999999999
3307,0.182
3317,0.205
3328,0.13
3343,0.14300000000000002
3354,0.20600000000000002
3363,0.198
3376,0.198
