tag,start_time,end_time,duration,mean_nni,sdnn,sdsd,nni_50,pnni_50,nni_20,pnni_20,rmssd,median_nni,range_nni,cvsd,cvnni,mean_hr,max_hr,min_hr,std_hr,lf,hf,lf_hf_ratio,lfnu,hfnu,total_power,vlf,tonic_mean,tonic_var,phasic_mean,phasic_var,phasic_sum,phasic_peaks,phasic_sum_over_1,phasic_peaks_over_1
drive01,0.258065,60.129032,59.870968,668.133333,123.950081,134.635513,66,73.333333,66,73.333333,134.705713,645.000000,1161,0.201615,0.185517,92.858484,232.558140,42.283298,19.692321,4606.052047,808.491873,5.697091,85.068145,14.931855,6005.908849,591.364928,0.002783,0.001580,1.235580,0.018068,0.291008,6,0.294375,5
drive01,30.516129,89.806452,59.290323,688.229885,129.282879,165.994549,59,67.816092,59,67.816092,165.996217,645.000000,903,0.241193,0.187848,89.310610,116.279070,42.283298,12.349552,11662.405023,8965.319040,1.300835,56.537527,43.462473,21756.604637,1128.880574,-0.001816,0.000208,1.096528,0.009070,0.087879,5,0.091246,4
drive01,60.838710,120.322581,59.483871,691.977011,121.608022,168.605838,53,60.919540,53,60.919540,168.607532,645.000000,839,0.243661,0.175740,88.459826,116.279070,44.280443,10.546514,3603.603176,5380.132805,0.669798,40.112523,59.887477,10021.804256,1038.068275,-0.002796,0.000244,0.956847,0.011893,0.084246,3,0.084246,3
drive01,90.451613,150.387097,59.935484,673.211111,118.095799,162.459053,57,63.333333,57,63.333333,162.459053,645.000000,774,0.241320,0.175422,91.053476,132.743363,48.939641,11.769587,3888.280066,5165.223244,0.752781,42.947795,57.052205,9282.954290,229.450979,-0.000130,0.001811,1.013267,0.031209,0.185262,3,0.195329,2
drive01,121.548387,181.354839,59.806452,670.802198,110.010426,121.411536,59,64.835165,59,64.835165,121.622869,645.000000,838,0.181310,0.163998,91.232562,132.743363,46.511628,11.741286,1027.142135,692.748372,1.482706,59.721368,40.278632,2816.960870,1097.070363,0.003243,0.003483,1.198846,0.018757,0.425887,4,0.435954,3
drive01,151.032258,210.580645,59.548387,716.690476,153.142502,186.217469,59,70.238095,59,70.238095,186.223955,710.000000,839,0.259839,0.213680,86.344103,116.279070,44.280443,12.945227,7920.383841,15057.988356,0.525992,34.468864,65.531136,26894.054966,3915.682769,0.000271,0.001839,1.126639,0.023172,0.277992,3,0.277992,3
drive01,182.000000,241.870968,59.870968,756.512500,210.537588,261.815376,62,77.500000,62,77.500000,261.815376,710.000000,968,0.346082,0.278300,83.509909,116.279070,40.431267,15.737503,5638.815592,10963.083232,0.514346,33.964883,66.035117,20656.689461,4054.790638,-0.000430,0.000013,0.912760,0.012825,0.013167,1,0.013167,1
drive01,211.354839,271.225806,59.870968,758.112500,222.570654,276.261763,65,81.250000,65,81.250000,276.266588,710.000000,968,0.364414,0.293585,83.765861,116.279070,40.431267,16.409815,31159.657750,22920.185121,1.359485,57.617878,42.382122,58628.740942,4548.898071,-0.000240,0.000002,0.756328,0.005238,0.000000,0,0.000000,0
drive01,242.516129,302.451613,59.935484,747.962963,208.693702,283.368785,65,80.246914,65,80.246914,283.461836,710.000000,903,0.378978,0.279016,84.496779,116.279070,42.283298,15.934090,19242.910455,17550.113658,1.096455,52.300432,47.699568,39279.634246,2486.610134,-0.000152,0.000001,0.639658,0.003289,0.000000,0,0.000000,0
drive01,271.935484,331.548387,59.612903,754.100000,238.634756,345.704812,55,68.750000,55,68.750000,345.705791,710.000000,1613,0.458435,0.316450,83.962854,116.279070,28.182245,15.005980,23272.777413,21842.214432,1.065495,51.585463,48.414537,51294.312252,6179.320407,-0.000126,0.000001,0.547114,0.002715,0.000000,0,0.000000,0
drive01,303.161290,362.645161,59.483871,716.642857,191.056268,265.769809,49,58.333333,49,58.333333,265.770963,710.000000,1613,0.370856,0.266599,86.398907,116.279070,28.182245,11.209174,14497.098505,13954.849332,1.038857,50.952921,49.047079,31121.415749,2669.467913,-0.000123,0.000001,0.458821,0.002054,0.000000,0,0.000000,0
drive01,332.193548,391.677419,59.483871,691.195402,87.924894,119.061635,55,63.218391,55,63.218391,119.064034,710.000000,774,0.172258,0.127207,87.884109,116.279070,46.511628,9.001740,2260.387427,4135.448887,0.546588,35.341546,64.658454,7036.468437,640.632124,-0.000113,0.000001,0.387272,0.001560,0.000000,0,0.000000,0
drive01,363.354839,423.032258,59.677419,710.482353,88.717665,121.072391,62,72.941176,62,72.941176,121.072391,710.000000,709,0.170409,0.124870,85.483571,103.270224,46.511628,8.723116,1130.218527,2775.914079,0.407152,28.934464,71.065536,4169.976281,263.843674,-0.000094,0.000001,0.320992,0.001131,0.000000,0,0.000000,0
drive01,392.451613,452.129032,59.677419,755.700000,175.418444,247.857337,62,77.500000,62,77.500000,247.858703,710.000000,1032,0.327986,0.232127,82.219566,116.279070,38.759690,12.935259,8340.718608,9626.170231,0.866463,46.422721,53.577279,18865.666315,898.777476,-0.000067,0.000001,0.268602,0.000822,0.000000,0,0.000000,0
drive01,423.741935,483.419355,59.677419,745.580247,183.556726,256.722077,58,71.604938,58,71.604938,256.722077,710.000000,1032,0.344325,0.246193,83.669937,116.279070,38.759690,13.726286,6089.776482,14264.712420,0.426912,29.918592,70.081408,23858.612601,3504.123699,-0.000060,0.000001,0.219368,0.000659,0.000000,0,0.000000,0
drive01,452.838710,512.322581,59.483871,716.642857,125.054749,148.640127,58,69.047619,58,69.047619,148.642127,710.000000,903,0.207415,0.174501,85.565187,132.743363,44.280443,11.356655,1477.486069,1626.463545,0.908404,47.600195,52.399805,3839.433404,735.483790,-0.000054,0.000001,0.179176,0.000485,0.000000,0,0.000000,0
drive01,484.064516,543.935484,59.870968,738.060976,156.078118,194.066454,60,73.170732,60,73.170732,194.170982,710.000000,903,0.263083,0.211470,83.943664,132.743363,44.280443,13.432144,15420.275833,12350.401505,1.248565,55.527187,44.472813,30383.442549,2612.765211,-0.000044,0.000001,0.140564,0.000412,0.000000,0,0.000000,0
drive01,513.032258,572.387097,59.354839,780.090909,258.983904,340.965761,53,68.831169,53,68.831169,340.966834,710.000000,1807,0.437086,0.331992,81.680060,116.279070,25.828670,15.753900,11310.162637,19645.269242,0.575719,36.536924,63.463076,32771.130188,1815.698309,-0.000040,0.000001,0.108621,0.000321,0.000000,0,0.000000,0
